,revenu,answer,count,total,value
0,Je préfère ne pas répondre,Non pas du tout,586,8940,0.065548098434
1,Je préfère ne pas répondre,Non pas vraiment,1930,8940,0.215883668904
2,Je préfère ne pas répondre,Oui plutôt,3185,8940,0.356263982103
3,Je préfère ne pas répondre,Oui tout à fait,3239,8940,0.362304250559
4,Jusqu'à 9 700 euros,Non pas du tout,254,5274,0.0481607887751
5,Jusqu'à 9 700 euros,Non pas vraiment,992,5274,0.188092529389
6,Jusqu'à 9 700 euros,Oui plutôt,1900,5274,0.36025786879
7,Jusqu'à 9 700 euros,Oui tout à fait,2128,5274,0.403488813045
8,au-delà de 152 108 euros,Non pas du tout,24,195,0.123076923077
9,au-delà de 152 108 euros,Non pas vraiment,53,195,0.271794871795
10,au-delà de 152 108 euros,Oui plutôt,52,195,0.266666666667
11,au-delà de 152 108 euros,Oui tout à fait,66,195,0.338461538462
12,de 26 791 à 71 826 euros,Non pas du tout,1032,12378,0.0833737275812
13,de 26 791 à 71 826 euros,Non pas vraiment,3336,12378,0.269510421716
14,de 26 791 à 71 826 euros,Oui plutôt,4604,12378,0.371950234287
15,de 26 791 à 71 826 euros,Oui tout à fait,3406,12378,0.275165616416
16,de 71 826 à 152 108 euros,Non pas du tout,181,1413,0.128096249115
17,de 71 826 à 152 108 euros,Non pas vraiment,464,1413,0.328379334749
18,de 71 826 à 152 108 euros,Oui plutôt,450,1413,0.31847133758
19,de 71 826 à 152 108 euros,Oui tout à fait,318,1413,0.225053078556
20,de 9 700 à 26 791 euros,Non pas du tout,745,14759,0.0504776746392
21,de 9 700 à 26 791 euros,Non pas vraiment,3239,14759,0.219459312962
22,de 9 700 à 26 791 euros,Oui plutôt,5503,14759,0.37285723965
23,de 9 700 à 26 791 euros,Oui tout à fait,5272,14759,0.357205772749
