,revenu,answer,count,total,value
0,Je préfère ne pas répondre,La défense des droits humains,571,8940,0.063870246085
1,Je préfère ne pas répondre,La justice sociale,770,8940,0.086129753915
2,Je préfère ne pas répondre,La liberté de la presse et d’expression,158,8940,0.0176733780761
3,Je préfère ne pas répondre,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",303,8940,0.0338926174497
4,Je préfère ne pas répondre,La politique étrangère,150,8940,0.0167785234899
5,Je préfère ne pas répondre,La protection de l'environnement,1274,8940,0.142505592841
6,Je préfère ne pas répondre,La religion,45,8940,0.00503355704698
7,Je préfère ne pas répondre,La santé,193,8940,0.0215883668904
8,Je préfère ne pas répondre,"La sécurité, le terrorisme",245,8940,0.0274049217002
9,Je préfère ne pas répondre,La transparence en politique,700,8940,0.0782997762864
10,Je préfère ne pas répondre,Le handicap,255,8940,0.0285234899329
11,Je préfère ne pas répondre,Le logement,132,8940,0.0147651006711
12,Je préfère ne pas répondre,Le vivre ensemble,493,8940,0.0551454138702
13,Je préfère ne pas répondre,Les droits des animaux,979,8940,0.109507829978
14,Je préfère ne pas répondre,Les droits des femmes,442,8940,0.0494407158837
15,Je préfère ne pas répondre,Les droits des personnes LGBT,149,8940,0.0166666666667
16,Je préfère ne pas répondre,L’accueil des migrants,133,8940,0.0148769574944
17,Je préfère ne pas répondre,L’emploi,607,8940,0.0678970917226
18,Je préfère ne pas répondre,L’économie,393,8940,0.0439597315436
19,Je préfère ne pas répondre,L’éducation,948,8940,0.106040268456
20,Jusqu'à 9 700 euros,La défense des droits humains,374,5274,0.0709139173303
21,Jusqu'à 9 700 euros,La justice sociale,523,5274,0.0991657186196
22,Jusqu'à 9 700 euros,La liberté de la presse et d’expression,91,5274,0.017254455821
23,Jusqu'à 9 700 euros,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",157,5274,0.0297686765264
24,Jusqu'à 9 700 euros,La politique étrangère,54,5274,0.0102389078498
25,Jusqu'à 9 700 euros,La protection de l'environnement,945,5274,0.179180887372
26,Jusqu'à 9 700 euros,La religion,30,5274,0.00568828213879
27,Jusqu'à 9 700 euros,La santé,106,5274,0.0200985968904
28,Jusqu'à 9 700 euros,"La sécurité, le terrorisme",104,5274,0.0197193780812
29,Jusqu'à 9 700 euros,La transparence en politique,416,5274,0.0788775123246
30,Jusqu'à 9 700 euros,Le handicap,143,5274,0.0271141448616
31,Jusqu'à 9 700 euros,Le logement,91,5274,0.017254455821
32,Jusqu'à 9 700 euros,Le vivre ensemble,396,5274,0.0750853242321
33,Jusqu'à 9 700 euros,Les droits des animaux,492,5274,0.0932878270762
34,Jusqu'à 9 700 euros,Les droits des femmes,220,5274,0.0417140690178
35,Jusqu'à 9 700 euros,Les droits des personnes LGBT,79,5274,0.0149791429655
36,Jusqu'à 9 700 euros,L’accueil des migrants,74,5274,0.0140310959424
37,Jusqu'à 9 700 euros,L’emploi,284,5274,0.0538490709139
38,Jusqu'à 9 700 euros,L’économie,185,5274,0.0350777398559
39,Jusqu'à 9 700 euros,L’éducation,510,5274,0.0967007963595
40,au-delà de 152 108 euros,La défense des droits humains,13,195,0.0666666666667
41,au-delà de 152 108 euros,La justice sociale,17,195,0.0871794871795
42,au-delà de 152 108 euros,La liberté de la presse et d’expression,7,195,0.0358974358974
43,au-delà de 152 108 euros,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",4,195,0.0205128205128
44,au-delà de 152 108 euros,La politique étrangère,4,195,0.0205128205128
45,au-delà de 152 108 euros,La protection de l'environnement,23,195,0.117948717949
46,au-delà de 152 108 euros,La religion,2,195,0.0102564102564
47,au-delà de 152 108 euros,La santé,5,195,0.025641025641
48,au-delà de 152 108 euros,"La sécurité, le terrorisme",6,195,0.0307692307692
49,au-delà de 152 108 euros,La transparence en politique,19,195,0.0974358974359
50,au-delà de 152 108 euros,Le handicap,3,195,0.0153846153846
51,au-delà de 152 108 euros,Le logement,1,195,0.00512820512821
52,au-delà de 152 108 euros,Le vivre ensemble,9,195,0.0461538461538
53,au-delà de 152 108 euros,Les droits des animaux,9,195,0.0461538461538
54,au-delà de 152 108 euros,Les droits des femmes,5,195,0.025641025641
55,au-delà de 152 108 euros,Les droits des personnes LGBT,1,195,0.00512820512821
56,au-delà de 152 108 euros,L’accueil des migrants,2,195,0.0102564102564
57,au-delà de 152 108 euros,L’emploi,12,195,0.0615384615385
58,au-delà de 152 108 euros,L’économie,28,195,0.14358974359
59,au-delà de 152 108 euros,L’éducation,25,195,0.128205128205
60,de 26 791 à 71 826 euros,La défense des droits humains,634,12378,0.0512199062853
61,de 26 791 à 71 826 euros,La justice sociale,1540,12378,0.124414283406
62,de 26 791 à 71 826 euros,La liberté de la presse et d’expression,202,12378,0.0163192761351
63,de 26 791 à 71 826 euros,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",254,12378,0.0205202779124
