,age,answer,count,total,value
0,16- 20,La défense des droits humains,395,3031,0.130320026394
1,16- 20,La justice sociale,186,3031,0.0613658858463
2,16- 20,La liberté de la presse et d’expression,35,3031,0.0115473441109
3,16- 20,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",274,3031,0.0903992081821
4,16- 20,La politique étrangère,22,3031,0.00725833058397
5,16- 20,La protection de l'environnement,385,3031,0.127020785219
6,16- 20,La religion,18,3031,0.00593863411415
7,16- 20,La santé,42,3031,0.013856812933
8,16- 20,"La sécurité, le terrorisme",123,3031,0.0405806664467
9,16- 20,La transparence en politique,85,3031,0.0280435499835
10,16- 20,Le handicap,24,3031,0.00791817881887
11,16- 20,Le logement,8,3031,0.00263939293962
12,16- 20,Le vivre ensemble,210,3031,0.0692840646651
13,16- 20,Les droits des animaux,254,3031,0.0838007258331
14,16- 20,Les droits des femmes,177,3031,0.0583965687892
15,16- 20,Les droits des personnes LGBT,92,3031,0.0303530188057
16,16- 20,L’accueil des migrants,90,3031,0.0296931705708
17,16- 20,L’emploi,172,3031,0.0567469482019
18,16- 20,L’économie,124,3031,0.0409105905642
19,16- 20,L’éducation,315,3031,0.103926096998
20,21-25,La défense des droits humains,415,3102,0.133784655061
21,21-25,La justice sociale,274,3102,0.0883301096067
22,21-25,La liberté de la presse et d’expression,29,3102,0.00934880722115
23,21-25,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",120,3102,0.0386847195358
24,21-25,La politique étrangère,19,3102,0.00612508059317
25,21-25,La protection de l'environnement,636,3102,0.20502901354
26,21-25,La religion,11,3102,0.00354609929078
27,21-25,La santé,35,3102,0.0112830431979
28,21-25,"La sécurité, le terrorisme",120,3102,0.0386847195358
29,21-25,La transparence en politique,109,3102,0.035138620245
30,21-25,Le handicap,23,3102,0.00741457124436
31,21-25,Le logement,8,3102,0.00257898130239
32,21-25,Le vivre ensemble,268,3102,0.0863958736299
33,21-25,Les droits des animaux,217,3102,0.0699548678272
34,21-25,Les droits des femmes,102,3102,0.0328820116054
