,revenu,answer,count,total,value
0,Je préfère ne pas répondre,La défense des droits humains,91,8940,0.0101789709172
1,Je préfère ne pas répondre,La justice sociale,157,8940,0.0175615212528
2,Je préfère ne pas répondre,La liberté de la presse et d’expression,134,8940,0.0149888143177
3,Je préfère ne pas répondre,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",633,8940,0.0708053691275
4,Je préfère ne pas répondre,La politique étrangère,708,8940,0.0791946308725
5,Je préfère ne pas répondre,La protection de l'environnement,124,8940,0.013870246085
6,Je préfère ne pas répondre,La religion,1405,8940,0.157158836689
7,Je préfère ne pas répondre,La santé,23,8940,0.00257270693512
8,Je préfère ne pas répondre,"La sécurité, le terrorisme",1170,8940,0.130872483221
9,Je préfère ne pas répondre,La transparence en politique,583,8940,0.0652125279642
10,Je préfère ne pas répondre,Le handicap,56,8940,0.00626398210291
11,Je préfère ne pas répondre,Le logement,94,8940,0.010514541387
12,Je préfère ne pas répondre,Le vivre ensemble,452,8940,0.0505592841163
13,Je préfère ne pas répondre,Les droits des animaux,183,8940,0.0204697986577
14,Je préfère ne pas répondre,Les droits des femmes,71,8940,0.0079418344519
15,Je préfère ne pas répondre,Les droits des personnes LGBT,342,8940,0.038255033557
16,Je préfère ne pas répondre,L’accueil des migrants,1310,8940,0.146532438479
17,Je préfère ne pas répondre,L’emploi,260,8940,0.0290827740492
18,Je préfère ne pas répondre,L’économie,991,8940,0.110850111857
19,Je préfère ne pas répondre,L’éducation,153,8940,0.0171140939597
20,Jusqu'à 9 700 euros,La défense des droits humains,43,5274,0.00815320439894
21,Jusqu'à 9 700 euros,La justice sociale,62,5274,0.0117557830868
22,Jusqu'à 9 700 euros,La liberté de la presse et d’expression,68,5274,0.0128934395146
23,Jusqu'à 9 700 euros,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",309,5274,0.0585893060296
24,Jusqu'à 9 700 euros,La politique étrangère,435,5274,0.0824800910125
25,Jusqu'à 9 700 euros,La protection de l'environnement,63,5274,0.0119453924915
26,Jusqu'à 9 700 euros,La religion,800,5274,0.151687523701
27,Jusqu'à 9 700 euros,La santé,23,5274,0.00436101630641
28,Jusqu'à 9 700 euros,"La sécurité, le terrorisme",1020,5274,0.193401592719
29,Jusqu'à 9 700 euros,La transparence en politique,250,5274,0.0474023511566
30,Jusqu'à 9 700 euros,Le handicap,29,5274,0.00549867273417
31,Jusqu'à 9 700 euros,Le logement,33,5274,0.00625711035267
32,Jusqu'à 9 700 euros,Le vivre ensemble,179,5274,0.0339400834281
33,Jusqu'à 9 700 euros,Les droits des animaux,97,5274,0.0183921122488
34,Jusqu'à 9 700 euros,Les droits des femmes,44,5274,0.00834281380356
35,Jusqu'à 9 700 euros,Les droits des personnes LGBT,142,5274,0.026924535457
36,Jusqu'à 9 700 euros,L’accueil des migrants,702,5274,0.133105802048
37,Jusqu'à 9 700 euros,L’emploi,199,5274,0.0377322715207
38,Jusqu'à 9 700 euros,L’économie,717,5274,0.135949943117
39,Jusqu'à 9 700 euros,L’éducation,59,5274,0.011186954873
40,au-delà de 152 108 euros,La défense des droits humains,5,195,0.025641025641
41,au-delà de 152 108 euros,La justice sociale,13,195,0.0666666666667
42,au-delà de 152 108 euros,La liberté de la presse et d’expression,1,195,0.00512820512821
43,au-delà de 152 108 euros,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",20,195,0.102564102564
44,au-delà de 152 108 euros,La politique étrangère,8,195,0.0410256410256
45,au-delà de 152 108 euros,La protection de l'environnement,5,195,0.025641025641
46,au-delà de 152 108 euros,La religion,17,195,0.0871794871795
47,au-delà de 152 108 euros,La santé,2,195,0.0102564102564
48,au-delà de 152 108 euros,"La sécurité, le terrorisme",20,195,0.102564102564
49,au-delà de 152 108 euros,La transparence en politique,8,195,0.0410256410256
50,au-delà de 152 108 euros,Le handicap,4,195,0.0205128205128
51,au-delà de 152 108 euros,Le logement,2,195,0.0102564102564
52,au-delà de 152 108 euros,Le vivre ensemble,11,195,0.0564102564103
53,au-delà de 152 108 euros,Les droits des animaux,8,195,0.0410256410256
54,au-delà de 152 108 euros,Les droits des femmes,1,195,0.00512820512821
55,au-delà de 152 108 euros,Les droits des personnes LGBT,21,195,0.107692307692
56,au-delà de 152 108 euros,L’accueil des migrants,30,195,0.153846153846
57,au-delà de 152 108 euros,L’emploi,3,195,0.0153846153846
58,au-delà de 152 108 euros,L’économie,13,195,0.0666666666667
59,au-delà de 152 108 euros,L’éducation,3,195,0.0153846153846
60,de 26 791 à 71 826 euros,La défense des droits humains,142,12378,0.011471966392
61,de 26 791 à 71 826 euros,La justice sociale,207,12378,0.0167232186137
62,de 26 791 à 71 826 euros,La liberté de la presse et d’expression,145,12378,0.0117143318791
63,de 26 791 à 71 826 euros,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",1044,12378,0.0843431895298
64,de 26 791 à 71 826 euros,La politique étrangère,666,12378,0.0538051381483
65,de 26 791 à 71 826 euros,La protection de l'environnement,181,12378,0.014622717725
66,de 26 791 à 71 826 euros,La religion,2022,12378,0.163354338342
67,de 26 791 à 71 826 euros,La santé,26,12378,0.00210050088867
68,de 26 791 à 71 826 euros,"La sécurité, le terrorisme",2507,12378,0.202536758766
69,de 26 791 à 71 826 euros,La transparence en politique,730,12378,0.0589756018743
70,de 26 791 à 71 826 euros,Le handicap,47,12378,0.00379705929876
71,de 26 791 à 71 826 euros,Le logement,83,12378,0.00670544514461
72,de 26 791 à 71 826 euros,Le vivre ensemble,527,12378,0.0425755372435
73,de 26 791 à 71 826 euros,Les droits des animaux,269,12378,0.0217321053482
74,de 26 791 à 71 826 euros,Les droits des femmes,92,12378,0.00743254160608
75,de 26 791 à 71 826 euros,Les droits des personnes LGBT,468,12378,0.0378090159961
76,de 26 791 à 71 826 euros,L’accueil des migrants,1798,12378,0.145257715301
77,de 26 791 à 71 826 euros,L’emploi,282,12378,0.0227823557925
78,de 26 791 à 71 826 euros,L’économie,1072,12378,0.0866052674099
79,de 26 791 à 71 826 euros,L’éducation,70,12378,0.00565519470027
