,taille_commune,answer,count,total,value
0,20 000 à 100 000 habitants,Non pas complètement,3881,8337,0.465515173324
1,20 000 à 100 000 habitants,Non pas du tout,3639,8337,0.436487945304
2,20 000 à 100 000 habitants,Oui complètement,82,8337,0.00983567230419
3,20 000 à 100 000 habitants,Oui plutôt,735,8337,0.088161209068
4,2000 à 20 000 habitants,Non pas complètement,6482,14496,0.447157836645
5,2000 à 20 000 habitants,Non pas du tout,6560,14496,0.452538631347
6,2000 à 20 000 habitants,Oui complètement,175,14496,0.0120722958057
7,2000 à 20 000 habitants,Oui plutôt,1279,14496,0.0882312362031
8,Je préfère ne pas répondre,Non pas complètement,870,1989,0.437405731523
9,Je préfère ne pas répondre,Non pas du tout,868,1989,0.436400201106
10,Je préfère ne pas répondre,Oui complètement,51,1989,0.025641025641
11,Je préfère ne pas répondre,Oui plutôt,200,1989,0.10055304173
12,Moins de 2000 habitants,Non pas complètement,3922,9396,0.417411664538
13,Moins de 2000 habitants,Non pas du tout,4682,9396,0.498297147722
14,Moins de 2000 habitants,Oui complètement,110,9396,0.0117071094083
15,Moins de 2000 habitants,Oui plutôt,682,9396,0.0725840783312
16,Plus de 100 000 habitants,Non pas complètement,4256,8741,0.486900812264
17,Plus de 100 000 habitants,Non pas du tout,3542,8741,0.405216794417
18,Plus de 100 000 habitants,Oui complètement,92,8741,0.0105251115433
19,Plus de 100 000 habitants,Oui plutôt,851,8741,0.0973572817755
