,taille_commune,answer,count,total,value
0,20 000 à 100 000 habitants,La défense des droits humains,100,8337,0.0119947223222
1,20 000 à 100 000 habitants,La justice sociale,141,8337,0.0169125584743
2,20 000 à 100 000 habitants,La liberté de la presse et d’expression,120,8337,0.0143936667866
3,20 000 à 100 000 habitants,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",590,8337,0.0707688617009
4,20 000 à 100 000 habitants,La politique étrangère,546,8337,0.0654911838791
5,20 000 à 100 000 habitants,La protection de l'environnement,101,8337,0.0121146695454
6,20 000 à 100 000 habitants,La religion,1455,8337,0.174523209788
7,20 000 à 100 000 habitants,La santé,23,8337,0.0027587861341
8,20 000 à 100 000 habitants,"La sécurité, le terrorisme",1468,8337,0.17608252369
9,20 000 à 100 000 habitants,La transparence en politique,458,8337,0.0549358282356
10,20 000 à 100 000 habitants,Le handicap,43,8337,0.00515773059854
11,20 000 à 100 000 habitants,Le logement,60,8337,0.00719683339331
12,20 000 à 100 000 habitants,Le vivre ensemble,369,8337,0.0442605253688
13,20 000 à 100 000 habitants,Les droits des animaux,186,8337,0.0223101835193
14,20 000 à 100 000 habitants,Les droits des femmes,63,8337,0.00755667506297
15,20 000 à 100 000 habitants,Les droits des personnes LGBT,307,8337,0.0368237975291
16,20 000 à 100 000 habitants,L’accueil des migrants,1219,8337,0.146215665107
17,20 000 à 100 000 habitants,L’emploi,241,8337,0.0289072807964
18,20 000 à 100 000 habitants,L’économie,776,8337,0.0930790452201
19,20 000 à 100 000 habitants,L’éducation,71,8337,0.00851625284875
20,2000 à 20 000 habitants,La défense des droits humains,154,14496,0.0106236203091
21,2000 à 20 000 habitants,La justice sociale,233,14496,0.0160733995585
22,2000 à 20 000 habitants,La liberté de la presse et d’expression,216,14496,0.0149006622517
23,2000 à 20 000 habitants,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",1190,14496,0.082091611479
24,2000 à 20 000 habitants,La politique étrangère,1053,14496,0.0726407284768
25,2000 à 20 000 habitants,La protection de l'environnement,207,14496,0.0142798013245
26,2000 à 20 000 habitants,La religion,2212,14496,0.152593818985
27,2000 à 20 000 habitants,La santé,40,14496,0.00275938189845
28,2000 à 20 000 habitants,"La sécurité, le terrorisme",2288,14496,0.157836644592
29,2000 à 20 000 habitants,La transparence en politique,894,14496,0.0616721854305
30,2000 à 20 000 habitants,Le handicap,85,14496,0.00586368653422
31,2000 à 20 000 habitants,Le logement,103,14496,0.00710540838852
32,2000 à 20 000 habitants,Le vivre ensemble,659,14496,0.045460816777
33,2000 à 20 000 habitants,Les droits des animaux,307,14496,0.0211782560706
34,2000 à 20 000 habitants,Les droits des femmes,109,14496,0.00751931567329
35,2000 à 20 000 habitants,Les droits des personnes LGBT,493,14496,0.0340093818985
36,2000 à 20 000 habitants,L’accueil des migrants,2312,14496,0.159492273731
37,2000 à 20 000 habitants,L’emploi,360,14496,0.0248344370861
38,2000 à 20 000 habitants,L’économie,1419,14496,0.0978890728477
39,2000 à 20 000 habitants,L’éducation,162,14496,0.0111754966887
40,Je préfère ne pas répondre,La défense des droits humains,27,1989,0.0135746606335
41,Je préfère ne pas répondre,La justice sociale,25,1989,0.0125691302162
42,Je préfère ne pas répondre,La liberté de la presse et d’expression,28,1989,0.0140774258421
43,Je préfère ne pas répondre,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",121,1989,0.0608345902464
44,Je préfère ne pas répondre,La politique étrangère,197,1989,0.0990447461036
45,Je préfère ne pas répondre,La protection de l'environnement,24,1989,0.0120663650075
46,Je préfère ne pas répondre,La religion,326,1989,0.163901458019
47,Je préfère ne pas répondre,La santé,10,1989,0.00502765208648
48,Je préfère ne pas répondre,"La sécurité, le terrorisme",283,1989,0.142282554047
49,Je préfère ne pas répondre,La transparence en politique,102,1989,0.0512820512821
50,Je préfère ne pas répondre,Le handicap,10,1989,0.00502765208648
51,Je préfère ne pas répondre,Le logement,20,1989,0.010055304173
52,Je préfère ne pas répondre,Le vivre ensemble,95,1989,0.0477626948215
53,Je préfère ne pas répondre,Les droits des animaux,48,1989,0.0241327300151
54,Je préfère ne pas répondre,Les droits des femmes,15,1989,0.00754147812971
55,Je préfère ne pas répondre,Les droits des personnes LGBT,65,1989,0.0326797385621
56,Je préfère ne pas répondre,L’accueil des migrants,290,1989,0.145801910508
57,Je préfère ne pas répondre,L’emploi,45,1989,0.0226244343891
58,Je préfère ne pas répondre,L’économie,223,1989,0.112116641528
59,Je préfère ne pas répondre,L’éducation,35,1989,0.0175967823027
60,Moins de 2000 habitants,La défense des droits humains,101,9396,0.0107492550021
61,Moins de 2000 habitants,La justice sociale,148,9396,0.0157513835675
62,Moins de 2000 habitants,La liberté de la presse et d’expression,97,9396,0.0103235419327
63,Moins de 2000 habitants,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",771,9396,0.0820561941252
64,Moins de 2000 habitants,La politique étrangère,678,9396,0.0721583652618
65,Moins de 2000 habitants,La protection de l'environnement,135,9396,0.014367816092
66,Moins de 2000 habitants,La religion,1324,9396,0.140911025968
67,Moins de 2000 habitants,La santé,19,9396,0.00202213707961
68,Moins de 2000 habitants,"La sécurité, le terrorisme",1575,9396,0.167624521073
69,Moins de 2000 habitants,La transparence en politique,578,9396,0.061515538527
70,Moins de 2000 habitants,Le handicap,38,9396,0.00404427415922
71,Moins de 2000 habitants,Le logement,71,9396,0.00755640698169
72,Moins de 2000 habitants,Le vivre ensemble,364,9396,0.0387398893146
73,Moins de 2000 habitants,Les droits des animaux,211,9396,0.0224563644104
74,Moins de 2000 habitants,Les droits des femmes,66,9396,0.00702426564496
75,Moins de 2000 habitants,Les droits des personnes LGBT,315,9396,0.0335249042146
76,Moins de 2000 habitants,L’accueil des migrants,1494,9396,0.159003831418
77,Moins de 2000 habitants,L’emploi,248,9396,0.0263942103023
78,Moins de 2000 habitants,L’économie,1066,9396,0.113452532993
79,Moins de 2000 habitants,L’éducation,97,9396,0.0103235419327
80,Plus de 100 000 habitants,La défense des droits humains,78,8741,0.00892346413454
81,Plus de 100 000 habitants,La justice sociale,131,8741,0.0149868436106
82,Plus de 100 000 habitants,La liberté de la presse et d’expression,101,8741,0.0115547420204
83,Plus de 100 000 habitants,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",534,8741,0.0610914083057
84,Plus de 100 000 habitants,La politique étrangère,513,8741,0.0586889371925
85,Plus de 100 000 habitants,La protection de l'environnement,87,8741,0.0099530946116
86,Plus de 100 000 habitants,La religion,1539,8741,0.176066811578
87,Plus de 100 000 habitants,La santé,19,8741,0.00217366434046
88,Plus de 100 000 habitants,"La sécurité, le terrorisme",2006,8741,0.229493192999
89,Plus de 100 000 habitants,La transparence en politique,471,8741,0.0538839949663
90,Plus de 100 000 habitants,Le handicap,41,8741,0.00469053883995
91,Plus de 100 000 habitants,Le logement,58,8741,0.00663539640773
