,profession,answer,count,total,value
0,Agriculteurs exploitants,Non pas du tout,118,308,0.383116883117
1,Agriculteurs exploitants,Non pas vraiment,159,308,0.516233766234
2,Agriculteurs exploitants,Oui plutôt,20,308,0.0649350649351
3,Agriculteurs exploitants,Oui tout à fait,11,308,0.0357142857143
4,"Artisans, commerçants et chefs d’entreprise",Non pas du tout,1159,2670,0.434082397004
5,"Artisans, commerçants et chefs d’entreprise",Non pas vraiment,1338,2670,0.501123595506
6,"Artisans, commerçants et chefs d’entreprise",Oui plutôt,144,2670,0.0539325842697
7,"Artisans, commerçants et chefs d’entreprise",Oui tout à fait,29,2670,0.010861423221
8,Autre,Non pas du tout,3783,8950,0.422681564246
9,Autre,Non pas vraiment,4632,8950,0.517541899441
10,Autre,Oui plutôt,457,8950,0.051061452514
11,Autre,Oui tout à fait,78,8950,0.00871508379888
12,Cadres et professions intellectuelles supérieures,Non pas du tout,4166,10170,0.409636184857
13,Cadres et professions intellectuelles supérieures,Non pas vraiment,5267,10170,0.517895771878
14,Cadres et professions intellectuelles supérieures,Oui plutôt,641,10170,0.0630285152409
15,Cadres et professions intellectuelles supérieures,Oui tout à fait,96,10170,0.0094395280236
16,Employés,Non pas du tout,3141,6931,0.453181359111
17,Employés,Non pas vraiment,3383,6931,0.488096955706
18,Employés,Oui plutôt,344,6931,0.0496320877218
19,Employés,Oui tout à fait,63,6931,0.00908959746068
20,Etudiant,Non pas du tout,1544,3489,0.442533677271
21,Etudiant,Non pas vraiment,1703,3489,0.488105474348
22,Etudiant,Oui plutôt,211,3489,0.0604757810261
23,Etudiant,Oui tout à fait,31,3489,0.00888506735454
24,Je préfère ne pas répondre,Non pas du tout,845,1906,0.44333683106
25,Je préfère ne pas répondre,Non pas vraiment,901,1906,0.472717733473
26,Je préfère ne pas répondre,Oui plutôt,120,1906,0.0629590766002
27,Je préfère ne pas répondre,Oui tout à fait,40,1906,0.0209863588667
28,Lycéen,Non pas du tout,413,961,0.429760665973
29,Lycéen,Non pas vraiment,457,961,0.475546305931
30,Lycéen,Oui plutôt,75,961,0.0780437044745
31,Lycéen,Oui tout à fait,16,961,0.0166493236212
32,Ouvriers,Non pas du tout,640,1215,0.526748971193
33,Ouvriers,Non pas vraiment,506,1215,0.41646090535
34,Ouvriers,Oui plutôt,56,1215,0.0460905349794
35,Ouvriers,Oui tout à fait,13,1215,0.0106995884774
36,Professions Intermédiaires,Non pas du tout,1390,3674,0.37833424061
37,Professions Intermédiaires,Non pas vraiment,2033,3674,0.553347849755
38,Professions Intermédiaires,Oui plutôt,210,3674,0.0571584104518
39,Professions Intermédiaires,Oui tout à fait,41,3674,0.0111594991835
40,Sans emploi,Non pas du tout,1276,2685,0.475232774674
41,Sans emploi,Non pas vraiment,1235,2685,0.459962756052
42,Sans emploi,Oui plutôt,144,2685,0.0536312849162
43,Sans emploi,Oui tout à fait,30,2685,0.0111731843575
