,taille_commune,answer,count,total,value
0,20 000 à 100 000 habitants,Consulter les citoyens pour construire son programme,5884,8337,0.705769461437
1,20 000 à 100 000 habitants,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,2453,8337,0.294230538563
2,2000 à 20 000 habitants,Consulter les citoyens pour construire son programme,10349,14496,0.713921081678
3,2000 à 20 000 habitants,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,4147,14496,0.286078918322
4,Je préfère ne pas répondre,Consulter les citoyens pour construire son programme,1521,1989,0.764705882353
5,Je préfère ne pas répondre,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,468,1989,0.235294117647
6,Moins de 2000 habitants,Consulter les citoyens pour construire son programme,6784,9396,0.722009365688
7,Moins de 2000 habitants,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,2612,9396,0.277990634312
8,Plus de 100 000 habitants,Consulter les citoyens pour construire son programme,5939,8741,0.679441711475
9,Plus de 100 000 habitants,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,2802,8741,0.320558288525
