,tendance,answer,count,total,value
0,Autre tendance,Non pas complètement,2090,6503,0.321390127633
1,Autre tendance,Non pas du tout,4049,6503,0.622635706597
2,Autre tendance,Oui complètement,69,6503,0.0106104874673
3,Autre tendance,Oui plutôt,295,6503,0.0453636783023
4,Centre,Non pas complètement,1004,1886,0.532343584305
5,Centre,Non pas du tout,665,1886,0.352598091198
6,Centre,Oui complètement,17,1886,0.00901378579003
7,Centre,Oui plutôt,200,1886,0.106044538706
8,Centre-droite,Non pas complètement,1438,2433,0.591039868475
9,Centre-droite,Non pas du tout,573,2433,0.235511713933
10,Centre-droite,Oui complètement,34,2433,0.0139745170571
11,Centre-droite,Oui plutôt,388,2433,0.159473900534
12,Centre-gauche,Non pas complètement,1625,2869,0.566399442314
13,Centre-gauche,Non pas du tout,978,2869,0.340885325898
14,Centre-gauche,Oui complètement,21,2869,0.00731962356222
15,Centre-gauche,Oui plutôt,245,2869,0.0853956082259
16,Droite,Non pas complètement,1888,3846,0.490899635985
17,Droite,Non pas du tout,1159,3846,0.301352054082
18,Droite,Oui complètement,107,3846,0.0278211128445
19,Droite,Oui plutôt,692,3846,0.179927197088
20,Extrême droite,Non pas complètement,618,1914,0.322884012539
21,Extrême droite,Non pas du tout,1044,1914,0.545454545455
22,Extrême droite,Oui complètement,58,1914,0.030303030303
23,Extrême droite,Oui plutôt,194,1914,0.101358411703
24,Extrême gauche,Non pas complètement,1224,3035,0.403294892916
25,Extrême gauche,Non pas du tout,1584,3035,0.521911037891
26,Extrême gauche,Oui complètement,38,3035,0.0125205930807
27,Extrême gauche,Oui plutôt,189,3035,0.062273476112
28,Gauche,Non pas complètement,4086,8254,0.495032711413
29,Gauche,Non pas du tout,3455,8254,0.41858492852
30,Gauche,Oui complètement,68,8254,0.00823842985219
31,Gauche,Oui plutôt,645,8254,0.0781439302157
32,Je préfère ne pas répondre,Non pas complètement,2752,6494,0.42377579304
33,Je préfère ne pas répondre,Non pas du tout,3109,6494,0.478749615029
34,Je préfère ne pas répondre,Oui complètement,77,6494,0.0118570988605
35,Je préfère ne pas répondre,Oui plutôt,556,6494,0.0856174930705
36,Écologiste,Non pas complètement,2686,5725,0.469170305677
37,Écologiste,Non pas du tout,2675,5725,0.467248908297
38,Écologiste,Oui complètement,21,5725,0.00366812227074
39,Écologiste,Oui plutôt,343,5725,0.0599126637555
