,age,answer,count,total,value
0,16- 20,La défense des droits humains,16,3031,0.00527878587925
1,16- 20,La justice sociale,46,3031,0.0151765094028
2,16- 20,La liberté de la presse et d’expression,52,3031,0.0171560541076
3,16- 20,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",96,3031,0.0316727152755
4,16- 20,La politique étrangère,269,3031,0.0887495875949
5,16- 20,La protection de l'environnement,41,3031,0.0135268888156
6,16- 20,La religion,553,3031,0.182448036952
7,16- 20,La santé,13,3031,0.00428901352689
8,16- 20,"La sécurité, le terrorisme",479,3031,0.15803365226
9,16- 20,La transparence en politique,168,3031,0.0554272517321
10,16- 20,Le handicap,20,3031,0.00659848234906
11,16- 20,Le logement,54,3031,0.0178159023425
12,16- 20,Le vivre ensemble,102,3031,0.0336522599802
13,16- 20,Les droits des animaux,50,3031,0.0164962058726
14,16- 20,Les droits des femmes,17,3031,0.0056087099967
15,16- 20,Les droits des personnes LGBT,87,3031,0.0287033982184
16,16- 20,L’accueil des migrants,355,3031,0.117123061696
17,16- 20,L’emploi,100,3031,0.0329924117453
18,16- 20,L’économie,431,3031,0.142197294622
19,16- 20,L’éducation,82,3031,0.0270537776311
20,21-25,La défense des droits humains,16,3102,0.00515796260477
21,21-25,La justice sociale,29,3102,0.00934880722115
22,21-25,La liberté de la presse et d’expression,27,3102,0.00870406189555
23,21-25,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",127,3102,0.0409413281754
24,21-25,La politique étrangère,232,3102,0.0747904577692
25,21-25,La protection de l'environnement,28,3102,0.00902643455835
26,21-25,La religion,615,3102,0.198259187621
27,21-25,La santé,11,3102,0.00354609929078
28,21-25,"La sécurité, le terrorisme",692,3102,0.223081882656
29,21-25,La transparence en politique,131,3102,0.0422308188266
30,21-25,Le handicap,10,3102,0.00322372662798
31,21-25,Le logement,13,3102,0.00419084461638
32,21-25,Le vivre ensemble,72,3102,0.0232108317215
33,21-25,Les droits des animaux,33,3102,0.0106382978723
34,21-25,Les droits des femmes,18,3102,0.00580270793037
35,21-25,Les droits des personnes LGBT,76,3102,0.0245003223727
36,21-25,L’accueil des migrants,395,3102,0.127337201805
37,21-25,L’emploi,129,3102,0.041586073501
38,21-25,L’économie,420,3102,0.135396518375
39,21-25,L’éducation,28,3102,0.00902643455835
40,26-30,La défense des droits humains,9,2730,0.0032967032967
41,26-30,La justice sociale,32,2730,0.0117216117216
42,26-30,La liberté de la presse et d’expression,24,2730,0.00879120879121
43,26-30,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",136,2730,0.0498168498168
44,26-30,La politique étrangère,176,2730,0.0644688644689
45,26-30,La protection de l'environnement,16,2730,0.00586080586081
46,26-30,La religion,502,2730,0.183882783883
47,26-30,La santé,7,2730,0.0025641025641
