,profession,answer,count,total,value
0,Agriculteurs exploitants,La défense des droits humains,35,308,0.113636363636
1,Agriculteurs exploitants,La justice sociale,44,308,0.142857142857
2,Agriculteurs exploitants,La liberté de la presse et d’expression,2,308,0.00649350649351
3,Agriculteurs exploitants,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",2,308,0.00649350649351
4,Agriculteurs exploitants,La politique étrangère,1,308,0.00324675324675
5,Agriculteurs exploitants,La protection de l'environnement,51,308,0.165584415584
6,Agriculteurs exploitants,La santé,2,308,0.00649350649351
7,Agriculteurs exploitants,"La sécurité, le terrorisme",11,308,0.0357142857143
8,Agriculteurs exploitants,La transparence en politique,23,308,0.0746753246753
9,Agriculteurs exploitants,Le logement,1,308,0.00324675324675
10,Agriculteurs exploitants,Le vivre ensemble,14,308,0.0454545454545
11,Agriculteurs exploitants,Les droits des animaux,8,308,0.025974025974
12,Agriculteurs exploitants,Les droits des femmes,4,308,0.012987012987
13,Agriculteurs exploitants,Les droits des personnes LGBT,3,308,0.00974025974026
14,Agriculteurs exploitants,L’accueil des migrants,5,308,0.0162337662338
15,Agriculteurs exploitants,L’emploi,28,308,0.0909090909091
16,Agriculteurs exploitants,L’économie,61,308,0.198051948052
17,Agriculteurs exploitants,L’éducation,13,308,0.0422077922078
18,"Artisans, commerçants et chefs d’entreprise",La défense des droits humains,178,2670,0.0666666666667
19,"Artisans, commerçants et chefs d’entreprise",La justice sociale,317,2670,0.11872659176
20,"Artisans, commerçants et chefs d’entreprise",La liberté de la presse et d’expression,18,2670,0.00674157303371
21,"Artisans, commerçants et chefs d’entreprise","La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",35,2670,0.0131086142322
22,"Artisans, commerçants et chefs d’entreprise",La politique étrangère,32,2670,0.0119850187266
23,"Artisans, commerçants et chefs d’entreprise",La protection de l'environnement,288,2670,0.107865168539
24,"Artisans, commerçants et chefs d’entreprise",La religion,13,2670,0.00486891385768
25,"Artisans, commerçants et chefs d’entreprise",La santé,19,2670,0.00711610486891
26,"Artisans, commerçants et chefs d’entreprise","La sécurité, le terrorisme",154,2670,0.0576779026217
27,"Artisans, commerçants et chefs d’entreprise",La transparence en politique,234,2670,0.0876404494382
28,"Artisans, commerçants et chefs d’entreprise",Le handicap,10,2670,0.00374531835206
29,"Artisans, commerçants et chefs d’entreprise",Le logement,17,2670,0.0063670411985
30,"Artisans, commerçants et chefs d’entreprise",Le vivre ensemble,122,2670,0.0456928838951
31,"Artisans, commerçants et chefs d’entreprise",Les droits des animaux,88,2670,0.0329588014981
32,"Artisans, commerçants et chefs d’entreprise",Les droits des femmes,20,2670,0.00749063670412
33,"Artisans, commerçants et chefs d’entreprise",Les droits des personnes LGBT,15,2670,0.00561797752809
34,"Artisans, commerçants et chefs d’entreprise",L’accueil des migrants,54,2670,0.0202247191011
35,"Artisans, commerçants et chefs d’entreprise",L’emploi,295,2670,0.110486891386
36,"Artisans, commerçants et chefs d’entreprise",L’économie,542,2670,0.202996254682
37,"Artisans, commerçants et chefs d’entreprise",L’éducation,219,2670,0.0820224719101
38,Autre,La défense des droits humains,824,8950,0.0920670391061
39,Autre,La justice sociale,1566,8950,0.174972067039
40,Autre,La liberté de la presse et d’expression,66,8950,0.00737430167598
41,Autre,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",156,8950,0.0174301675978
42,Autre,La politique étrangère,67,8950,0.00748603351955
43,Autre,La protection de l'environnement,731,8950,0.0816759776536
44,Autre,La religion,34,8950,0.00379888268156
45,Autre,La santé,108,8950,0.0120670391061
46,Autre,"La sécurité, le terrorisme",595,8950,0.0664804469274
47,Autre,La transparence en politique,693,8950,0.0774301675978
48,Autre,Le handicap,83,8950,0.00927374301676
49,Autre,Le logement,35,8950,0.00391061452514
50,Autre,Le vivre ensemble,398,8950,0.044469273743
51,Autre,Les droits des animaux,331,8950,0.0369832402235
52,Autre,Les droits des femmes,111,8950,0.0124022346369
53,Autre,Les droits des personnes LGBT,35,8950,0.00391061452514
54,Autre,L’accueil des migrants,215,8950,0.0240223463687
55,Autre,L’emploi,1194,8950,0.133407821229
56,Autre,L’économie,995,8950,0.111173184358
57,Autre,L’éducation,713,8950,0.0796648044693
58,Cadres et professions intellectuelles supérieures,La défense des droits humains,739,10170,0.0726647000983
59,Cadres et professions intellectuelles supérieures,La justice sociale,1470,10170,0.144542772861
60,Cadres et professions intellectuelles supérieures,La liberté de la presse et d’expression,50,10170,0.00491642084562
61,Cadres et professions intellectuelles supérieures,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",188,10170,0.0184857423795
62,Cadres et professions intellectuelles supérieures,La politique étrangère,134,10170,0.0131760078663
63,Cadres et professions intellectuelles supérieures,La protection de l'environnement,1311,10170,0.128908554572
64,Cadres et professions intellectuelles supérieures,La religion,44,10170,0.00432645034415
65,Cadres et professions intellectuelles supérieures,La santé,81,10170,0.00796460176991
66,Cadres et professions intellectuelles supérieures,"La sécurité, le terrorisme",369,10170,0.0362831858407
67,Cadres et professions intellectuelles supérieures,La transparence en politique,679,10170,0.0667649950836
68,Cadres et professions intellectuelles supérieures,Le handicap,25,10170,0.00245821042281
69,Cadres et professions intellectuelles supérieures,Le logement,33,10170,0.00324483775811
70,Cadres et professions intellectuelles supérieures,Le vivre ensemble,695,10170,0.0683382497542
71,Cadres et professions intellectuelles supérieures,Les droits des animaux,222,10170,0.0218289085546
72,Cadres et professions intellectuelles supérieures,Les droits des femmes,105,10170,0.0103244837758
73,Cadres et professions intellectuelles supérieures,Les droits des personnes LGBT,43,10170,0.00422812192724
74,Cadres et professions intellectuelles supérieures,L’accueil des migrants,177,10170,0.0174041297935
