,revenu,answer,count,total,value
0,Je préfère ne pas répondre,Consulter les citoyens pour construire son programme,6571,8940,0.735011185682
1,Je préfère ne pas répondre,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,2369,8940,0.264988814318
2,Jusqu'à 9 700 euros,Consulter les citoyens pour construire son programme,4148,5274,0.786499810391
3,Jusqu'à 9 700 euros,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,1126,5274,0.213500189609
4,au-delà de 152 108 euros,Consulter les citoyens pour construire son programme,110,195,0.564102564103
5,au-delà de 152 108 euros,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,85,195,0.435897435897
6,de 26 791 à 71 826 euros,Consulter les citoyens pour construire son programme,7837,12378,0.633139440944
7,de 26 791 à 71 826 euros,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,4541,12378,0.366860559056
8,de 71 826 à 152 108 euros,Consulter les citoyens pour construire son programme,700,1413,0.495399858457
9,de 71 826 à 152 108 euros,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,713,1413,0.504600141543
10,de 9 700 à 26 791 euros,Consulter les citoyens pour construire son programme,11111,14759,0.752828782438
11,de 9 700 à 26 791 euros,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,3648,14759,0.247171217562
