,profession,answer,count,total,value
0,Agriculteurs exploitants,La défense des droits humains,5,308,0.0162337662338
1,Agriculteurs exploitants,La justice sociale,4,308,0.012987012987
2,Agriculteurs exploitants,La liberté de la presse et d’expression,4,308,0.012987012987
3,Agriculteurs exploitants,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",29,308,0.0941558441558
4,Agriculteurs exploitants,La politique étrangère,12,308,0.038961038961
5,Agriculteurs exploitants,La protection de l'environnement,5,308,0.0162337662338
6,Agriculteurs exploitants,La religion,28,308,0.0909090909091
7,Agriculteurs exploitants,La santé,1,308,0.00324675324675
8,Agriculteurs exploitants,"La sécurité, le terrorisme",66,308,0.214285714286
9,Agriculteurs exploitants,La transparence en politique,13,308,0.0422077922078
10,Agriculteurs exploitants,Le handicap,1,308,0.00324675324675
11,Agriculteurs exploitants,Le logement,2,308,0.00649350649351
12,Agriculteurs exploitants,Le vivre ensemble,15,308,0.0487012987013
13,Agriculteurs exploitants,Les droits des animaux,13,308,0.0422077922078
14,Agriculteurs exploitants,Les droits des femmes,3,308,0.00974025974026
15,Agriculteurs exploitants,Les droits des personnes LGBT,12,308,0.038961038961
16,Agriculteurs exploitants,L’accueil des migrants,47,308,0.152597402597
17,Agriculteurs exploitants,L’emploi,10,308,0.0324675324675
18,Agriculteurs exploitants,L’économie,38,308,0.123376623377
19,"Artisans, commerçants et chefs d’entreprise",La défense des droits humains,33,2670,0.0123595505618
20,"Artisans, commerçants et chefs d’entreprise",La justice sociale,67,2670,0.0250936329588
21,"Artisans, commerçants et chefs d’entreprise",La liberté de la presse et d’expression,37,2670,0.0138576779026
22,"Artisans, commerçants et chefs d’entreprise","La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",266,2670,0.0996254681648
23,"Artisans, commerçants et chefs d’entreprise",La politique étrangère,171,2670,0.0640449438202
24,"Artisans, commerçants et chefs d’entreprise",La protection de l'environnement,40,2670,0.0149812734082
25,"Artisans, commerçants et chefs d’entreprise",La religion,393,2670,0.147191011236
26,"Artisans, commerçants et chefs d’entreprise",La santé,9,2670,0.00337078651685
27,"Artisans, commerçants et chefs d’entreprise","La sécurité, le terrorisme",447,2670,0.167415730337
28,"Artisans, commerçants et chefs d’entreprise",La transparence en politique,148,2670,0.0554307116105
29,"Artisans, commerçants et chefs d’entreprise",Le handicap,15,2670,0.00561797752809
30,"Artisans, commerçants et chefs d’entreprise",Le logement,30,2670,0.0112359550562
31,"Artisans, commerçants et chefs d’entreprise",Le vivre ensemble,130,2670,0.0486891385768
32,"Artisans, commerçants et chefs d’entreprise",Les droits des animaux,49,2670,0.0183520599251
33,"Artisans, commerçants et chefs d’entreprise",Les droits des femmes,21,2670,0.00786516853933
34,"Artisans, commerçants et chefs d’entreprise",Les droits des personnes LGBT,100,2670,0.0374531835206
35,"Artisans, commerçants et chefs d’entreprise",L’accueil des migrants,392,2670,0.146816479401
36,"Artisans, commerçants et chefs d’entreprise",L’emploi,88,2670,0.0329588014981
37,"Artisans, commerçants et chefs d’entreprise",L’économie,210,2670,0.0786516853933
38,"Artisans, commerçants et chefs d’entreprise",L’éducation,24,2670,0.00898876404494
39,Autre,La défense des droits humains,137,8950,0.0153072625698
40,Autre,La justice sociale,164,8950,0.0183240223464
41,Autre,La liberté de la presse et d’expression,153,8950,0.017094972067
42,Autre,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",796,8950,0.088938547486
43,Autre,La politique étrangère,568,8950,0.0634636871508
