,revenu,answer,count,total,value
0,Je préfère ne pas répondre,Non pas du tout,138,8940,0.0154362416107
1,Je préfère ne pas répondre,Non pas vraiment,479,8940,0.0535794183445
2,Je préfère ne pas répondre,Oui plutôt,3392,8940,0.379418344519
3,Je préfère ne pas répondre,Oui tout à fait,4931,8940,0.551565995526
4,Jusqu'à 9 700 euros,Non pas du tout,51,5274,0.00967007963595
5,Jusqu'à 9 700 euros,Non pas vraiment,250,5274,0.0474023511566
6,Jusqu'à 9 700 euros,Oui plutôt,1806,5274,0.342434584755
7,Jusqu'à 9 700 euros,Oui tout à fait,3167,5274,0.600492984452
8,au-delà de 152 108 euros,Non pas du tout,12,195,0.0615384615385
9,au-delà de 152 108 euros,Non pas vraiment,22,195,0.112820512821
10,au-delà de 152 108 euros,Oui plutôt,74,195,0.379487179487
11,au-delà de 152 108 euros,Oui tout à fait,87,195,0.446153846154
12,de 26 791 à 71 826 euros,Non pas du tout,175,12378,0.0141379867507
13,de 26 791 à 71 826 euros,Non pas vraiment,1035,12378,0.0836160930683
14,de 26 791 à 71 826 euros,Oui plutôt,5855,12378,0.47301664243
15,de 26 791 à 71 826 euros,Oui tout à fait,5313,12378,0.429229277751
16,de 71 826 à 152 108 euros,Non pas du tout,40,1413,0.0283085633404
17,de 71 826 à 152 108 euros,Non pas vraiment,192,1413,0.135881104034
18,de 71 826 à 152 108 euros,Oui plutôt,709,1413,0.501769285209
19,de 71 826 à 152 108 euros,Oui tout à fait,472,1413,0.334041047417
20,de 9 700 à 26 791 euros,Non pas du tout,105,14759,0.00711430313707
21,de 9 700 à 26 791 euros,Non pas vraiment,683,14759,0.0462768480249
22,de 9 700 à 26 791 euros,Oui plutôt,6030,14759,0.408564265872
23,de 9 700 à 26 791 euros,Oui tout à fait,7941,14759,0.538044582966
