,profession,answer,count,total,value
0,Agriculteurs exploitants,Non pas du tout,38,308,0.123376623377
1,Agriculteurs exploitants,Non pas vraiment,80,308,0.25974025974
2,Agriculteurs exploitants,Oui plutôt,114,308,0.37012987013
3,Agriculteurs exploitants,Oui tout à fait,76,308,0.246753246753
4,"Artisans, commerçants et chefs d’entreprise",Non pas du tout,173,2670,0.0647940074906
5,"Artisans, commerçants et chefs d’entreprise",Non pas vraiment,582,2670,0.21797752809
6,"Artisans, commerçants et chefs d’entreprise",Oui plutôt,983,2670,0.368164794007
7,"Artisans, commerçants et chefs d’entreprise",Oui tout à fait,932,2670,0.349063670412
8,Autre,Non pas du tout,592,8950,0.0661452513966
9,Autre,Non pas vraiment,2006,8950,0.224134078212
10,Autre,Oui plutôt,3139,8950,0.350726256983
11,Autre,Oui tout à fait,3213,8950,0.358994413408
12,Cadres et professions intellectuelles supérieures,Non pas du tout,1000,10170,0.0983284169125
13,Cadres et professions intellectuelles supérieures,Non pas vraiment,2986,10170,0.293608652901
14,Cadres et professions intellectuelles supérieures,Oui plutôt,3526,10170,0.346705998033
15,Cadres et professions intellectuelles supérieures,Oui tout à fait,2658,10170,0.261356932153
16,Employés,Non pas du tout,251,6931,0.036214110518
17,Employés,Non pas vraiment,1288,6931,0.185831770307
18,Employés,Oui plutôt,2706,6931,0.390419852835
19,Employés,Oui tout à fait,2686,6931,0.38753426634
20,Etudiant,Non pas du tout,195,3489,0.0558899398108
21,Etudiant,Non pas vraiment,798,3489,0.22871883061
22,Etudiant,Oui plutôt,1346,3489,0.385783892233
23,Etudiant,Oui tout à fait,1150,3489,0.329607337346
24,Je préfère ne pas répondre,Non pas du tout,161,1906,0.0844700944386
25,Je préfère ne pas répondre,Non pas vraiment,418,1906,0.219307450157
26,Je préfère ne pas répondre,Oui plutôt,647,1906,0.339454354669
27,Je préfère ne pas répondre,Oui tout à fait,680,1906,0.356768100735
28,Lycéen,Non pas du tout,42,961,0.0437044745057
29,Lycéen,Non pas vraiment,167,961,0.173777315297
30,Lycéen,Oui plutôt,380,961,0.395421436004
31,Lycéen,Oui tout à fait,372,961,0.387096774194
32,Ouvriers,Non pas du tout,53,1215,0.043621399177
33,Ouvriers,Non pas vraiment,215,1215,0.17695473251
34,Ouvriers,Oui plutôt,472,1215,0.388477366255
35,Ouvriers,Oui tout à fait,475,1215,0.390946502058
36,Professions Intermédiaires,Non pas du tout,220,3674,0.059880239521
37,Professions Intermédiaires,Non pas vraiment,992,3674,0.270005443658
38,Professions Intermédiaires,Oui plutôt,1393,3674,0.37915078933
39,Professions Intermédiaires,Oui tout à fait,1069,3674,0.29096352749
40,Sans emploi,Non pas du tout,97,2685,0.0361266294227
41,Sans emploi,Non pas vraiment,482,2685,0.179515828678
42,Sans emploi,Oui plutôt,988,2685,0.367970204842
43,Sans emploi,Oui tout à fait,1118,2685,0.416387337058
