,tendance,answer,count,total,value
0,Autre tendance,Non pas du tout,268,6503,0.0412117484238
1,Autre tendance,Non pas vraiment,1211,6503,0.186221743811
2,Autre tendance,Oui plutôt,3216,6503,0.494540981086
3,Autre tendance,Oui tout à fait,1808,6503,0.27802552668
4,Centre,Non pas du tout,58,1886,0.0307529162248
5,Centre,Non pas vraiment,383,1886,0.203075291622
6,Centre,Oui plutôt,1052,1886,0.557794273595
7,Centre,Oui tout à fait,393,1886,0.208377518558
8,Centre-droite,Non pas du tout,90,2433,0.0369913686806
9,Centre-droite,Non pas vraiment,541,2433,0.222359227291
10,Centre-droite,Oui plutôt,1275,2433,0.524044389642
11,Centre-droite,Oui tout à fait,527,2433,0.216605014386
12,Centre-gauche,Non pas du tout,99,2869,0.0345067967933
13,Centre-gauche,Non pas vraiment,665,2869,0.23178807947
14,Centre-gauche,Oui plutôt,1517,2869,0.528755663994
15,Centre-gauche,Oui tout à fait,588,2869,0.204949459742
16,Droite,Non pas du tout,151,3846,0.0392615704628
17,Droite,Non pas vraiment,864,3846,0.224648985959
18,Droite,Oui plutôt,1956,3846,0.508580343214
19,Droite,Oui tout à fait,875,3846,0.227509100364
20,Extrême droite,Non pas du tout,81,1914,0.0423197492163
21,Extrême droite,Non pas vraiment,312,1914,0.163009404389
22,Extrême droite,Oui plutôt,908,1914,0.474399164054
23,Extrême droite,Oui tout à fait,613,1914,0.320271682341
24,Extrême gauche,Non pas du tout,129,3035,0.0425041186161
25,Extrême gauche,Non pas vraiment,701,3035,0.23097199341
26,Extrême gauche,Oui plutôt,1540,3035,0.507413509061
27,Extrême gauche,Oui tout à fait,665,3035,0.219110378913
28,Gauche,Non pas du tout,327,8254,0.0396171553186
29,Gauche,Non pas vraiment,2086,8254,0.252725951054
30,Gauche,Oui plutôt,4302,8254,0.521201841531
31,Gauche,Oui tout à fait,1539,8254,0.186455052096
32,Je préfère ne pas répondre,Non pas du tout,226,6494,0.034801355097
33,Je préfère ne pas répondre,Non pas vraiment,1391,6494,0.214197720973
34,Je préfère ne pas répondre,Oui plutôt,3356,6494,0.516784724361
35,Je préfère ne pas répondre,Oui tout à fait,1521,6494,0.234216199569
36,Écologiste,Non pas du tout,167,5725,0.0291703056769
37,Écologiste,Non pas vraiment,1131,5725,0.197554585153
38,Écologiste,Oui plutôt,3076,5725,0.537292576419
39,Écologiste,Oui tout à fait,1351,5725,0.235982532751
