,taille_commune,answer,count,total,value
0,20 000 à 100 000 habitants,Le charisme,366,8337,0.0439006836992
1,20 000 à 100 000 habitants,Le parti,114,8337,0.0136739834473
2,20 000 à 100 000 habitants,Les propositions concrètes,7500,8337,0.899604174163
3,20 000 à 100 000 habitants,L’expérience,357,8337,0.0428211586902
4,2000 à 20 000 habitants,Le charisme,657,14496,0.0453228476821
5,2000 à 20 000 habitants,Le parti,184,14496,0.0126931567329
6,2000 à 20 000 habitants,Les propositions concrètes,13066,14496,0.90135209713
7,2000 à 20 000 habitants,L’expérience,589,14496,0.0406318984547
8,Je préfère ne pas répondre,Le charisme,67,1989,0.0336852689794
9,Je préfère ne pas répondre,Le parti,50,1989,0.0251382604324
10,Je préfère ne pas répondre,Les propositions concrètes,1767,1989,0.88838612368
11,Je préfère ne pas répondre,L’expérience,105,1989,0.052790346908
12,Moins de 2000 habitants,Le charisme,495,9396,0.0526819923372
13,Moins de 2000 habitants,Le parti,136,9396,0.0144742443593
14,Moins de 2000 habitants,Les propositions concrètes,8430,9396,0.897190293742
15,Moins de 2000 habitants,L’expérience,335,9396,0.0356534695615
16,Plus de 100 000 habitants,Le charisme,406,8741,0.0464477748541
17,Plus de 100 000 habitants,Le parti,122,8741,0.0139572131335
18,Plus de 100 000 habitants,Les propositions concrètes,7856,8741,0.898753003089
19,Plus de 100 000 habitants,L’expérience,357,8741,0.0408420089235
