,taille_commune,answer,count,total,value
0,20 000 à 100 000 habitants,La défense des droits humains,1097,8337,0.131582103874
1,20 000 à 100 000 habitants,La justice sociale,1002,8337,0.120187117668
2,20 000 à 100 000 habitants,La liberté de la presse et d’expression,78,8337,0.0093558834113
3,20 000 à 100 000 habitants,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",202,8337,0.0242293390908
4,20 000 à 100 000 habitants,La politique étrangère,57,8337,0.00683699172364
5,20 000 à 100 000 habitants,La protection de l'environnement,998,8337,0.119707328775
6,20 000 à 100 000 habitants,La religion,36,8337,0.00431810003598
7,20 000 à 100 000 habitants,La santé,138,8337,0.0165527168046
8,20 000 à 100 000 habitants,"La sécurité, le terrorisme",445,8337,0.0533765143337
9,20 000 à 100 000 habitants,La transparence en politique,399,8337,0.0478589420655
10,20 000 à 100 000 habitants,Le handicap,76,8337,0.00911598896486
11,20 000 à 100 000 habitants,Le logement,48,8337,0.00575746671465
12,20 000 à 100 000 habitants,Le vivre ensemble,545,8337,0.0653712366559
13,20 000 à 100 000 habitants,Les droits des animaux,524,8337,0.0628523449682
14,20 000 à 100 000 habitants,Les droits des femmes,167,8337,0.020031186278
15,20 000 à 100 000 habitants,Les droits des personnes LGBT,56,8337,0.00671704450042
16,20 000 à 100 000 habitants,L’accueil des migrants,104,8337,0.0124745112151
17,20 000 à 100 000 habitants,L’emploi,882,8337,0.105793450882
18,20 000 à 100 000 habitants,L’économie,579,8337,0.0694494422454
19,20 000 à 100 000 habitants,L’éducation,904,8337,0.108432289792
20,2000 à 20 000 habitants,La défense des droits humains,1862,14496,0.128449227373
21,2000 à 20 000 habitants,La justice sociale,1860,14496,0.128311258278
22,2000 à 20 000 habitants,La liberté de la presse et d’expression,118,14496,0.00814017660044
23,2000 à 20 000 habitants,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",319,14496,0.0220060706402
24,2000 à 20 000 habitants,La politique étrangère,50,14496,0.00344922737307
25,2000 à 20 000 habitants,La protection de l'environnement,1773,14496,0.122309602649
26,2000 à 20 000 habitants,La religion,50,14496,0.00344922737307
27,2000 à 20 000 habitants,La santé,233,14496,0.0160733995585
28,2000 à 20 000 habitants,"La sécurité, le terrorisme",843,14496,0.0581539735099
29,2000 à 20 000 habitants,La transparence en politique,774,14496,0.0533940397351
30,2000 à 20 000 habitants,Le handicap,156,14496,0.010761589404
31,2000 à 20 000 habitants,Le logement,73,14496,0.00503587196468
32,2000 à 20 000 habitants,Le vivre ensemble,798,14496,0.0550496688742
33,2000 à 20 000 habitants,Les droits des animaux,920,14496,0.0634657836645
34,2000 à 20 000 habitants,Les droits des femmes,261,14496,0.0180049668874
35,2000 à 20 000 habitants,Les droits des personnes LGBT,99,14496,0.00682947019868
36,2000 à 20 000 habitants,L’accueil des migrants,179,14496,0.0123482339956
37,2000 à 20 000 habitants,L’emploi,1714,14496,0.118239514349
38,2000 à 20 000 habitants,L’économie,981,14496,0.0676738410596
39,2000 à 20 000 habitants,L’éducation,1433,14496,0.0988548565121
40,Je préfère ne pas répondre,La défense des droits humains,262,1989,0.131724484666
41,Je préfère ne pas répondre,La justice sociale,146,1989,0.0734037204625
42,Je préfère ne pas répondre,La liberté de la presse et d’expression,14,1989,0.00703871292107
43,Je préfère ne pas répondre,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",92,1989,0.0462543991956
44,Je préfère ne pas répondre,La politique étrangère,14,1989,0.00703871292107
45,Je préfère ne pas répondre,La protection de l'environnement,238,1989,0.119658119658
46,Je préfère ne pas répondre,La religion,16,1989,0.00804424333836
47,Je préfère ne pas répondre,La santé,32,1989,0.0160884866767
