,taille_commune,answer,count,total,value
0,20 000 à 100 000 habitants,Non pas du tout,113,8337,0.0135540362241
1,20 000 à 100 000 habitants,Non pas vraiment,503,8337,0.0603334532806
2,20 000 à 100 000 habitants,Oui plutôt,3500,8337,0.419815281276
3,20 000 à 100 000 habitants,Oui tout à fait,4221,8337,0.506297229219
4,2000 à 20 000 habitants,Non pas du tout,153,14496,0.0105546357616
5,2000 à 20 000 habitants,Non pas vraiment,849,14496,0.0585678807947
6,2000 à 20 000 habitants,Oui plutôt,6085,14496,0.419770971302
7,2000 à 20 000 habitants,Oui tout à fait,7409,14496,0.511106512141
8,Je préfère ne pas répondre,Non pas du tout,37,1989,0.01860231272
9,Je préfère ne pas répondre,Non pas vraiment,113,1989,0.0568124685772
10,Je préfère ne pas répondre,Oui plutôt,731,1989,0.367521367521
11,Je préfère ne pas répondre,Oui tout à fait,1108,1989,0.557063851181
12,Moins de 2000 habitants,Non pas du tout,105,9396,0.0111749680715
13,Moins de 2000 habitants,Non pas vraiment,560,9396,0.0595998297148
14,Moins de 2000 habitants,Oui plutôt,3849,9396,0.409642401022
15,Moins de 2000 habitants,Oui tout à fait,4882,9396,0.519582801192
16,Plus de 100 000 habitants,Non pas du tout,113,8741,0.0129275826564
17,Plus de 100 000 habitants,Non pas vraiment,636,8741,0.0727605537124
18,Plus de 100 000 habitants,Oui plutôt,3701,8741,0.423406932845
19,Plus de 100 000 habitants,Oui tout à fait,4291,8741,0.490904930786
