,taille_commune,answer,count,total,value
0,20 000 à 100 000 habitants,Non pas du tout,298,8337,0.0357442725201
1,20 000 à 100 000 habitants,Non pas vraiment,1851,8337,0.222022310184
2,20 000 à 100 000 habitants,Oui plutôt,4217,8337,0.505817440326
3,20 000 à 100 000 habitants,Oui tout à fait,1971,8337,0.23641597697
4,2000 à 20 000 habitants,Non pas du tout,480,14496,0.0331125827815
5,2000 à 20 000 habitants,Non pas vraiment,3069,14496,0.211713576159
6,2000 à 20 000 habitants,Oui plutôt,7644,14496,0.527317880795
7,2000 à 20 000 habitants,Oui tout à fait,3303,14496,0.227855960265
8,Je préfère ne pas répondre,Non pas du tout,100,1989,0.0502765208648
9,Je préfère ne pas répondre,Non pas vraiment,440,1989,0.221216691805
10,Je préfère ne pas répondre,Oui plutôt,964,1989,0.484665661136
11,Je préfère ne pas répondre,Oui tout à fait,485,1989,0.243841126194
12,Moins de 2000 habitants,Non pas du tout,368,9396,0.039165602384
13,Moins de 2000 habitants,Non pas vraiment,2046,9396,0.217752234994
14,Moins de 2000 habitants,Oui plutôt,4908,9396,0.522349936143
15,Moins de 2000 habitants,Oui tout à fait,2074,9396,0.220732226479
16,Plus de 100 000 habitants,Non pas du tout,350,8741,0.0400411852191
17,Plus de 100 000 habitants,Non pas vraiment,1879,8741,0.214963962933
18,Plus de 100 000 habitants,Oui plutôt,4465,8741,0.510811120009
19,Plus de 100 000 habitants,Oui tout à fait,2047,8741,0.234183731838
