,profession,answer,count,total,value
0,Agriculteurs exploitants,La défense des droits humains,36,308,0.116883116883
1,Agriculteurs exploitants,La justice sociale,26,308,0.0844155844156
2,Agriculteurs exploitants,La liberté de la presse et d’expression,6,308,0.0194805194805
3,Agriculteurs exploitants,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",4,308,0.012987012987
4,Agriculteurs exploitants,La politique étrangère,3,308,0.00974025974026
5,Agriculteurs exploitants,La protection de l'environnement,75,308,0.243506493506
6,Agriculteurs exploitants,La religion,1,308,0.00324675324675
7,Agriculteurs exploitants,La santé,4,308,0.012987012987
8,Agriculteurs exploitants,"La sécurité, le terrorisme",11,308,0.0357142857143
9,Agriculteurs exploitants,La transparence en politique,21,308,0.0681818181818
10,Agriculteurs exploitants,Le handicap,1,308,0.00324675324675
11,Agriculteurs exploitants,Le vivre ensemble,16,308,0.0519480519481
12,Agriculteurs exploitants,Les droits des animaux,8,308,0.025974025974
13,Agriculteurs exploitants,Les droits des femmes,2,308,0.00649350649351
14,Agriculteurs exploitants,L’accueil des migrants,2,308,0.00649350649351
15,Agriculteurs exploitants,L’emploi,27,308,0.0876623376623
16,Agriculteurs exploitants,L’économie,47,308,0.152597402597
17,Agriculteurs exploitants,L’éducation,18,308,0.0584415584416
18,"Artisans, commerçants et chefs d’entreprise",La défense des droits humains,309,2670,0.115730337079
19,"Artisans, commerçants et chefs d’entreprise",La justice sociale,249,2670,0.0932584269663
20,"Artisans, commerçants et chefs d’entreprise",La liberté de la presse et d’expression,20,2670,0.00749063670412
21,"Artisans, commerçants et chefs d’entreprise","La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",43,2670,0.0161048689139
22,"Artisans, commerçants et chefs d’entreprise",La politique étrangère,14,2670,0.00524344569288
23,"Artisans, commerçants et chefs d’entreprise",La protection de l'environnement,345,2670,0.129213483146
24,"Artisans, commerçants et chefs d’entreprise",La religion,7,2670,0.00262172284644
25,"Artisans, commerçants et chefs d’entreprise",La santé,34,2670,0.012734082397
26,"Artisans, commerçants et chefs d’entreprise","La sécurité, le terrorisme",161,2670,0.0602996254682
27,"Artisans, commerçants et chefs d’entreprise",La transparence en politique,179,2670,0.0670411985019
28,"Artisans, commerçants et chefs d’entreprise",Le handicap,8,2670,0.00299625468165
29,"Artisans, commerçants et chefs d’entreprise",Le logement,13,2670,0.00486891385768
30,"Artisans, commerçants et chefs d’entreprise",Le vivre ensemble,168,2670,0.0629213483146
31,"Artisans, commerçants et chefs d’entreprise",Les droits des animaux,143,2670,0.0535580524345
32,"Artisans, commerçants et chefs d’entreprise",Les droits des femmes,33,2670,0.0123595505618
33,"Artisans, commerçants et chefs d’entreprise",Les droits des personnes LGBT,22,2670,0.00823970037453
34,"Artisans, commerçants et chefs d’entreprise",L’accueil des migrants,27,2670,0.0101123595506
35,"Artisans, commerçants et chefs d’entreprise",L’emploi,285,2670,0.106741573034
36,"Artisans, commerçants et chefs d’entreprise",L’économie,371,2670,0.138951310861
37,"Artisans, commerçants et chefs d’entreprise",L’éducation,239,2670,0.0895131086142
38,Autre,La défense des droits humains,1247,8950,0.139329608939
39,Autre,La justice sociale,1365,8950,0.15251396648
40,Autre,La liberté de la presse et d’expression,89,8950,0.00994413407821
41,Autre,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",143,8950,0.0159776536313
42,Autre,La politique étrangère,33,8950,0.00368715083799
43,Autre,La protection de l'environnement,796,8950,0.088938547486
44,Autre,La religion,42,8950,0.00469273743017
45,Autre,La santé,147,8950,0.0164245810056
46,Autre,"La sécurité, le terrorisme",660,8950,0.0737430167598
47,Autre,La transparence en politique,586,8950,0.0654748603352
48,Autre,Le handicap,140,8950,0.0156424581006
49,Autre,Le logement,37,8950,0.00413407821229
50,Autre,Le vivre ensemble,391,8950,0.043687150838
51,Autre,Les droits des animaux,568,8950,0.0634636871508
52,Autre,Les droits des femmes,135,8950,0.0150837988827
53,Autre,Les droits des personnes LGBT,43,8950,0.00480446927374
54,Autre,L’accueil des migrants,123,8950,0.0137430167598
55,Autre,L’emploi,984,8950,0.109944134078
56,Autre,L’économie,575,8950,0.0642458100559
57,Autre,L’éducation,846,8950,0.0945251396648
58,Cadres et professions intellectuelles supérieures,La défense des droits humains,1192,10170,0.11720747296
59,Cadres et professions intellectuelles supérieures,La justice sociale,1240,10170,0.121927236971
60,Cadres et professions intellectuelles supérieures,La liberté de la presse et d’expression,86,10170,0.00845624385447
61,Cadres et professions intellectuelles supérieures,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",192,10170,0.0188790560472
62,Cadres et professions intellectuelles supérieures,La politique étrangère,72,10170,0.0070796460177
63,Cadres et professions intellectuelles supérieures,La protection de l'environnement,1611,10170,0.158407079646
64,Cadres et professions intellectuelles supérieures,La religion,48,10170,0.0047197640118
65,Cadres et professions intellectuelles supérieures,La santé,150,10170,0.0147492625369
66,Cadres et professions intellectuelles supérieures,"La sécurité, le terrorisme",423,10170,0.041592920354
67,Cadres et professions intellectuelles supérieures,La transparence en politique,501,10170,0.0492625368732
68,Cadres et professions intellectuelles supérieures,Le handicap,51,10170,0.00501474926254
69,Cadres et professions intellectuelles supérieures,Le logement,36,10170,0.00353982300885
70,Cadres et professions intellectuelles supérieures,Le vivre ensemble,717,10170,0.0705014749263
71,Cadres et professions intellectuelles supérieures,Les droits des animaux,363,10170,0.0356932153392
72,Cadres et professions intellectuelles supérieures,Les droits des femmes,156,10170,0.0153392330383
73,Cadres et professions intellectuelles supérieures,Les droits des personnes LGBT,48,10170,0.0047197640118
74,Cadres et professions intellectuelles supérieures,L’accueil des migrants,70,10170,0.00688298918387
75,Cadres et professions intellectuelles supérieures,L’emploi,951,10170,0.0935103244838
76,Cadres et professions intellectuelles supérieures,L’économie,833,10170,0.0819075712881
77,Cadres et professions intellectuelles supérieures,L’éducation,1430,10170,0.140609636185
78,Employés,La défense des droits humains,969,6931,0.139806665705
79,Employés,La justice sociale,884,6931,0.127542923099
80,Employés,La liberté de la presse et d’expression,43,6931,0.00620401096523
81,Employés,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",157,6931,0.0226518539893
82,Employés,La politique étrangère,22,6931,0.003174145145
83,Employés,La protection de l'environnement,816,6931,0.117731929015
84,Employés,La religion,15,6931,0.00216418987159
85,Employés,La santé,132,6931,0.01904487087
86,Employés,"La sécurité, le terrorisme",384,6931,0.0554032607127
87,Employés,La transparence en politique,296,6931,0.0427066801327
88,Employés,Le handicap,72,6931,0.0103881113836
89,Employés,Le logement,38,6931,0.00548261434136
90,Employés,Le vivre ensemble,448,6931,0.0646371374982
91,Employés,Les droits des animaux,624,6931,0.0900302986582
92,Employés,Les droits des femmes,137,6931,0.0197662674939
93,Employés,Les droits des personnes LGBT,48,6931,0.00692540758909
94,Employés,L’accueil des migrants,69,6931,0.00995527340932
95,Employés,L’emploi,913,6931,0.131727023518
96,Employés,L’économie,364,6931,0.0525176742173
97,Employés,L’éducation,500,6931,0.0721396623864
98,Etudiant,La défense des droits humains,483,3489,0.138435081685
99,Etudiant,La justice sociale,301,3489,0.0862711378619
100,Etudiant,La liberté de la presse et d’expression,40,3489,0.0114646030381
101,Etudiant,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",224,3489,0.0642017770135
102,Etudiant,La politique étrangère,25,3489,0.00716537689882
103,Etudiant,La protection de l'environnement,599,3489,0.171682430496
104,Etudiant,La religion,15,3489,0.00429922613929
105,Etudiant,La santé,47,3489,0.0134709085698
106,Etudiant,"La sécurité, le terrorisme",103,3489,0.0295213528232
107,Etudiant,La transparence en politique,120,3489,0.0343938091144
108,Etudiant,Le handicap,25,3489,0.00716537689882
