,revenu,answer,count,total,value
0,Je préfère ne pas répondre,Non pas du tout,237,8940,0.0265100671141
1,Je préfère ne pas répondre,Non pas vraiment,818,8940,0.0914988814318
2,Je préfère ne pas répondre,Oui plutôt,3193,8940,0.357158836689
3,Je préfère ne pas répondre,Oui tout à fait,4692,8940,0.524832214765
4,Jusqu'à 9 700 euros,Non pas du tout,118,5274,0.0223739097459
5,Jusqu'à 9 700 euros,Non pas vraiment,462,5274,0.0875995449374
6,Jusqu'à 9 700 euros,Oui plutôt,1672,5274,0.317026924535
7,Jusqu'à 9 700 euros,Oui tout à fait,3022,5274,0.572999620781
8,au-delà de 152 108 euros,Non pas du tout,16,195,0.0820512820513
9,au-delà de 152 108 euros,Non pas vraiment,19,195,0.0974358974359
10,au-delà de 152 108 euros,Oui plutôt,71,195,0.364102564103
11,au-delà de 152 108 euros,Oui tout à fait,89,195,0.45641025641
12,de 26 791 à 71 826 euros,Non pas du tout,314,12378,0.0253675876555
13,de 26 791 à 71 826 euros,Non pas vraiment,1260,12378,0.101793504605
14,de 26 791 à 71 826 euros,Oui plutôt,5162,12378,0.417030214897
15,de 26 791 à 71 826 euros,Oui tout à fait,5642,12378,0.455808692842
16,de 71 826 à 152 108 euros,Non pas du tout,53,1413,0.037508846426
17,de 71 826 à 152 108 euros,Non pas vraiment,201,1413,0.142250530786
18,de 71 826 à 152 108 euros,Oui plutôt,630,1413,0.445859872611
19,de 71 826 à 152 108 euros,Oui tout à fait,529,1413,0.374380750177
20,de 9 700 à 26 791 euros,Non pas du tout,263,14759,0.0178196354767
21,de 9 700 à 26 791 euros,Non pas vraiment,1092,14759,0.0739887526255
22,de 9 700 à 26 791 euros,Oui plutôt,5351,14759,0.362558438919
23,de 9 700 à 26 791 euros,Oui tout à fait,8053,14759,0.545633172979
