,revenu,answer,count,total,value
0,Je préfère ne pas répondre,Non pas du tout,3868,8940,0.432662192394
1,Je préfère ne pas répondre,Non pas vraiment,4382,8940,0.490156599553
2,Je préfère ne pas répondre,Oui plutôt,551,8940,0.0616331096197
3,Je préfère ne pas répondre,Oui tout à fait,139,8940,0.015548098434
4,Jusqu'à 9 700 euros,Non pas du tout,2548,5274,0.483124762988
5,Jusqu'à 9 700 euros,Non pas vraiment,2386,5274,0.452408039439
6,Jusqu'à 9 700 euros,Oui plutôt,279,5274,0.0529010238908
7,Jusqu'à 9 700 euros,Oui tout à fait,61,5274,0.0115661736822
8,au-delà de 152 108 euros,Non pas du tout,93,195,0.476923076923
9,au-delà de 152 108 euros,Non pas vraiment,86,195,0.441025641026
10,au-delà de 152 108 euros,Oui plutôt,10,195,0.0512820512821
11,au-delà de 152 108 euros,Oui tout à fait,6,195,0.0307692307692
12,de 26 791 à 71 826 euros,Non pas du tout,5038,12378,0.407012441428
13,de 26 791 à 71 826 euros,Non pas vraiment,6535,12378,0.527952819519
14,de 26 791 à 71 826 euros,Oui plutôt,709,12378,0.0572790434642
15,de 26 791 à 71 826 euros,Oui tout à fait,96,12378,0.00775569558895
16,de 71 826 à 152 108 euros,Non pas du tout,541,1413,0.382873319179
17,de 71 826 à 152 108 euros,Non pas vraiment,756,1413,0.535031847134
18,de 71 826 à 152 108 euros,Oui plutôt,105,1413,0.0743099787686
19,de 71 826 à 152 108 euros,Oui tout à fait,11,1413,0.00778485491861
20,de 9 700 à 26 791 euros,Non pas du tout,6387,14759,0.432752896538
21,de 9 700 à 26 791 euros,Non pas vraiment,7469,14759,0.506064096484
22,de 9 700 à 26 791 euros,Oui plutôt,768,14759,0.0520360458026
23,de 9 700 à 26 791 euros,Oui tout à fait,135,14759,0.00914696117623
