,taille_commune,answer,count,total,value
0,20 000 à 100 000 habitants,La défense des droits humains,509,8337,0.0610531366199
1,20 000 à 100 000 habitants,La justice sociale,942,8337,0.112990284275
2,20 000 à 100 000 habitants,La liberté de la presse et d’expression,135,8337,0.0161928751349
3,20 000 à 100 000 habitants,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",203,8337,0.024349286314
4,20 000 à 100 000 habitants,La politique étrangère,136,8337,0.0163128223582
5,20 000 à 100 000 habitants,La protection de l'environnement,1258,8337,0.150893606813
6,20 000 à 100 000 habitants,La religion,43,8337,0.00515773059854
7,20 000 à 100 000 habitants,La santé,209,8337,0.0250689696534
8,20 000 à 100 000 habitants,"La sécurité, le terrorisme",186,8337,0.0223101835193
9,20 000 à 100 000 habitants,La transparence en politique,731,8337,0.0876814201751
10,20 000 à 100 000 habitants,Le handicap,172,8337,0.0206309223941
11,20 000 à 100 000 habitants,Le logement,127,8337,0.0152332973492
12,20 000 à 100 000 habitants,Le vivre ensemble,568,8337,0.06813002279
13,20 000 à 100 000 habitants,Les droits des animaux,624,8337,0.0748470672904
14,20 000 à 100 000 habitants,Les droits des femmes,293,8337,0.035144536404
15,20 000 à 100 000 habitants,Les droits des personnes LGBT,76,8337,0.00911598896486
16,20 000 à 100 000 habitants,L’accueil des migrants,102,8337,0.0122346167686
17,20 000 à 100 000 habitants,L’emploi,544,8337,0.0652512894326
18,20 000 à 100 000 habitants,L’économie,465,8337,0.0557754587981
19,20 000 à 100 000 habitants,L’éducation,1014,8337,0.121626484347
20,2000 à 20 000 habitants,La défense des droits humains,892,14496,0.0615342163355
21,2000 à 20 000 habitants,La justice sociale,1734,14496,0.119619205298
22,2000 à 20 000 habitants,La liberté de la presse et d’expression,210,14496,0.0144867549669
23,2000 à 20 000 habitants,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",375,14496,0.025869205298
24,2000 à 20 000 habitants,La politique étrangère,195,14496,0.013451986755
25,2000 à 20 000 habitants,La protection de l'environnement,2167,14496,0.149489514349
26,2000 à 20 000 habitants,La religion,67,14496,0.00462196467991
27,2000 à 20 000 habitants,La santé,385,14496,0.0265590507726
28,2000 à 20 000 habitants,"La sécurité, le terrorisme",394,14496,0.0271799116998
29,2000 à 20 000 habitants,La transparence en politique,1302,14496,0.0898178807947
