,taille_commune,answer,count,total,value
0,20 000 à 100 000 habitants,Non pas du tout,120,8337,0.0143936667866
1,20 000 à 100 000 habitants,Non pas vraiment,495,8337,0.0593738754948
2,20 000 à 100 000 habitants,Oui plutôt,3197,8337,0.38347127264
3,20 000 à 100 000 habitants,Oui tout à fait,4525,8337,0.542761185079
4,2000 à 20 000 habitants,Non pas du tout,194,14496,0.0133830022075
5,2000 à 20 000 habitants,Non pas vraiment,885,14496,0.0610513245033
6,2000 à 20 000 habitants,Oui plutôt,5486,14496,0.378449227373
7,2000 à 20 000 habitants,Oui tout à fait,7931,14496,0.547116445916
8,Je préfère ne pas répondre,Non pas du tout,57,1989,0.0286576168929
9,Je préfère ne pas répondre,Non pas vraiment,194,1989,0.0975364504776
10,Je préfère ne pas répondre,Oui plutôt,738,1989,0.371040723982
11,Je préfère ne pas répondre,Oui tout à fait,1000,1989,0.502765208648
12,Moins de 2000 habitants,Non pas du tout,162,9396,0.0172413793103
13,Moins de 2000 habitants,Non pas vraiment,599,9396,0.0637505321413
14,Moins de 2000 habitants,Oui plutôt,3391,9396,0.360898254576
15,Moins de 2000 habitants,Oui tout à fait,5244,9396,0.558109833972
16,Plus de 100 000 habitants,Non pas du tout,140,8741,0.0160164740876
17,Plus de 100 000 habitants,Non pas vraiment,563,8741,0.0644091065096
18,Plus de 100 000 habitants,Oui plutôt,3397,8741,0.388628303398
19,Plus de 100 000 habitants,Oui tout à fait,4641,8741,0.530946116005
