,taille_commune,answer,count,total,value
0,20 000 à 100 000 habitants,Non pas du tout,3509,8337,0.420894806285
1,20 000 à 100 000 habitants,Non pas vraiment,4263,8337,0.511335012594
2,20 000 à 100 000 habitants,Oui plutôt,480,8337,0.0575746671465
3,20 000 à 100 000 habitants,Oui tout à fait,85,8337,0.0101955139739
4,2000 à 20 000 habitants,Non pas du tout,6317,14496,0.435775386313
5,2000 à 20 000 habitants,Non pas vraiment,7275,14496,0.501862582781
6,2000 à 20 000 habitants,Oui plutôt,754,14496,0.0520143487859
7,2000 à 20 000 habitants,Oui tout à fait,150,14496,0.0103476821192
8,Je préfère ne pas répondre,Non pas du tout,875,1989,0.439919557567
9,Je préfère ne pas répondre,Non pas vraiment,931,1989,0.468074409251
10,Je préfère ne pas répondre,Oui plutôt,143,1989,0.0718954248366
11,Je préfère ne pas répondre,Oui tout à fait,40,1989,0.0201106083459
12,Moins de 2000 habitants,Non pas du tout,4126,9396,0.439123031077
13,Moins de 2000 habitants,Non pas vraiment,4697,9396,0.499893571733
14,Moins de 2000 habitants,Oui plutôt,483,9396,0.051404853129
15,Moins de 2000 habitants,Oui tout à fait,90,9396,0.0095785440613
16,Plus de 100 000 habitants,Non pas du tout,3648,8741,0.417343553369
17,Plus de 100 000 habitants,Non pas vraiment,4448,8741,0.508866262441
18,Plus de 100 000 habitants,Oui plutôt,562,8741,0.0642947031232
19,Plus de 100 000 habitants,Oui tout à fait,83,8741,0.00949548106624
