,revenu,answer,count,total,value
0,Je préfère ne pas répondre,Le charisme,401,8940,0.0448545861298
1,Je préfère ne pas répondre,Le parti,161,8940,0.0180089485459
2,Je préfère ne pas répondre,Les propositions concrètes,7968,8940,0.891275167785
3,Je préfère ne pas répondre,L’expérience,410,8940,0.0458612975391
4,Jusqu'à 9 700 euros,Le charisme,179,5274,0.0339400834281
5,Jusqu'à 9 700 euros,Le parti,88,5274,0.0166856276071
6,Jusqu'à 9 700 euros,Les propositions concrètes,4795,5274,0.909177095184
7,Jusqu'à 9 700 euros,L’expérience,212,5274,0.0401971937808
8,au-delà de 152 108 euros,Le charisme,14,195,0.0717948717949
9,au-delà de 152 108 euros,Le parti,4,195,0.0205128205128
10,au-delà de 152 108 euros,Les propositions concrètes,156,195,0.8
11,au-delà de 152 108 euros,L’expérience,21,195,0.107692307692
12,de 26 791 à 71 826 euros,Le charisme,679,12378,0.0548553885927
13,de 26 791 à 71 826 euros,Le parti,139,12378,0.0112296009048
14,de 26 791 à 71 826 euros,Les propositions concrètes,11018,12378,0.890127645823
15,de 26 791 à 71 826 euros,L’expérience,542,12378,0.0437873646793
16,de 71 826 à 152 108 euros,Le charisme,112,1413,0.0792639773531
17,de 71 826 à 152 108 euros,Le parti,10,1413,0.0070771408351
18,de 71 826 à 152 108 euros,Les propositions concrètes,1200,1413,0.849256900212
19,de 71 826 à 152 108 euros,L’expérience,91,1413,0.0644019815994
20,de 9 700 à 26 791 euros,Le charisme,606,14759,0.0410596923911
21,de 9 700 à 26 791 euros,Le parti,204,14759,0.0138220746663
22,de 9 700 à 26 791 euros,Les propositions concrètes,13482,14759,0.9134765228
23,de 9 700 à 26 791 euros,L’expérience,467,14759,0.031641710143
