,taille_commune,answer,count,total,value
0,20 000 à 100 000 habitants,Non pas du tout,583,8337,0.0699292311383
1,20 000 à 100 000 habitants,Non pas vraiment,1911,8337,0.229219143577
2,20 000 à 100 000 habitants,Oui plutôt,3048,8337,0.36559913638
3,20 000 à 100 000 habitants,Oui tout à fait,2795,8337,0.335252488905
4,2000 à 20 000 habitants,Non pas du tout,898,14496,0.0619481236203
5,2000 à 20 000 habitants,Non pas vraiment,3338,14496,0.230270419426
6,2000 à 20 000 habitants,Oui plutôt,5400,14496,0.372516556291
7,2000 à 20 000 habitants,Oui tout à fait,4860,14496,0.335264900662
8,Je préfère ne pas répondre,Non pas du tout,134,1989,0.0673705379588
9,Je préfère ne pas répondre,Non pas vraiment,397,1989,0.199597787833
10,Je préfère ne pas répondre,Oui plutôt,707,1989,0.355455002514
11,Je préfère ne pas répondre,Oui tout à fait,751,1989,0.377576671694
12,Moins de 2000 habitants,Non pas du tout,603,9396,0.0641762452107
13,Moins de 2000 habitants,Non pas vraiment,2165,9396,0.230417198808
14,Moins de 2000 habitants,Oui plutôt,3346,9396,0.356108982546
15,Moins de 2000 habitants,Oui tout à fait,3282,9396,0.349297573436
16,Plus de 100 000 habitants,Non pas du tout,604,8741,0.0690996453495
17,Plus de 100 000 habitants,Non pas vraiment,2203,8741,0.252030660108
18,Plus de 100 000 habitants,Oui plutôt,3193,8741,0.365290012584
19,Plus de 100 000 habitants,Oui tout à fait,2741,8741,0.313579681959
