,age,answer,count,total,value
0,16- 20,Le charisme,120,3031,0.0395908940944
1,16- 20,Le parti,82,3031,0.0270537776311
2,16- 20,Les propositions concrètes,2741,3031,0.904322005939
3,16- 20,L’expérience,88,3031,0.0290333223359
4,21-25,Le charisme,78,3102,0.0251450676983
5,21-25,Le parti,50,3102,0.0161186331399
6,21-25,Les propositions concrètes,2872,3102,0.925854287556
7,21-25,L’expérience,102,3102,0.0328820116054
8,26-30,Le charisme,72,2730,0.0263736263736
9,26-30,Le parti,53,2730,0.0194139194139
10,26-30,Les propositions concrètes,2534,2730,0.928205128205
11,26-30,L’expérience,71,2730,0.0260073260073
12,31-35,Le charisme,92,2999,0.0306768922974
13,31-35,Le parti,42,2999,0.0140046682227
14,31-35,Les propositions concrètes,2774,2999,0.924974991664
15,31-35,L’expérience,91,2999,0.0303434478159
16,36-40,Le charisme,106,3123,0.0339417227025
17,36-40,Le parti,46,3123,0.0147294268332
18,36-40,Les propositions concrètes,2876,3123,0.920909382004
19,36-40,L’expérience,95,3123,0.0304194684598
20,41-45,Le charisme,104,3402,0.0305702527925
21,41-45,Le parti,40,3402,0.0117577895356
22,41-45,Les propositions concrètes,3122,3402,0.917695473251
23,41-45,L’expérience,136,3402,0.0399764844209
24,46-50,Le charisme,117,3679,0.0318021201413
25,46-50,Le parti,35,3679,0.00951345474314
26,46-50,Les propositions concrètes,3384,3679,0.919815167165
27,46-50,L’expérience,143,3679,0.0388692579505
28,51-55,Le charisme,165,4545,0.036303630363
29,51-55,Le parti,45,4545,0.00990099009901
30,51-55,Les propositions concrètes,4147,4545,0.912431243124
31,51-55,L’expérience,188,4545,0.0413641364136
32,56-60,Le charisme,246,4806,0.0511860174782
33,56-60,Le parti,51,4806,0.0106117353308
34,56-60,Les propositions concrètes,4325,4806,0.899916770703
35,56-60,L’expérience,184,4806,0.0382854764877
36,61 -65,Le charisme,332,4953,0.0670300827781
37,61 -65,Le parti,71,4953,0.0143347466182
38,61 -65,Les propositions concrètes,4338,4953,0.875832828589
39,61 -65,L’expérience,212,4953,0.0428023420149
40,66-70,Le charisme,292,3784,0.0771670190275
41,66-70,Le parti,47,3784,0.0124207188161
42,66-70,Les propositions concrètes,3231,3784,0.853858350951
43,66-70,L’expérience,214,3784,0.0565539112051
44,71-75,Le charisme,153,1679,0.0911256700417
45,71-75,Le parti,26,1679,0.0154854079809
46,71-75,Les propositions concrètes,1381,1679,0.822513400834
47,71-75,L’expérience,119,1679,0.0708755211435
48,76-80,Le charisme,63,593,0.106239460371
49,76-80,Le parti,7,593,0.0118043844857
50,76-80,Les propositions concrètes,475,593,0.801011804384
51,76-80,L’expérience,48,593,0.0809443507589
52,Je préfère ne pas répondre,Le charisme,10,172,0.0581395348837
53,Je préfère ne pas répondre,Le parti,4,172,0.0232558139535
54,Je préfère ne pas répondre,Les propositions concrètes,147,172,0.854651162791
55,Je préfère ne pas répondre,L’expérience,11,172,0.0639534883721
56,Plus de 80 ans,Le charisme,41,361,0.113573407202
57,Plus de 80 ans,Le parti,7,361,0.0193905817175
58,Plus de 80 ans,Les propositions concrètes,272,361,0.753462603878
59,Plus de 80 ans,L’expérience,41,361,0.113573407202
