,revenu,answer,count,total,value
0,Je préfère ne pas répondre,Non pas du tout,206,8940,0.0230425055928
1,Je préfère ne pas répondre,Non pas vraiment,773,8940,0.0864653243848
2,Je préfère ne pas répondre,Oui plutôt,3313,8940,0.370581655481
3,Je préfère ne pas répondre,Oui tout à fait,4648,8940,0.519910514541
4,Jusqu'à 9 700 euros,Non pas du tout,83,5274,0.015737580584
5,Jusqu'à 9 700 euros,Non pas vraiment,328,5274,0.0621918847175
6,Jusqu'à 9 700 euros,Oui plutôt,1755,5274,0.332764505119
7,Jusqu'à 9 700 euros,Oui tout à fait,3108,5274,0.589306029579
8,au-delà de 152 108 euros,Non pas du tout,13,195,0.0666666666667
9,au-delà de 152 108 euros,Non pas vraiment,16,195,0.0820512820513
10,au-delà de 152 108 euros,Oui plutôt,70,195,0.358974358974
11,au-delà de 152 108 euros,Oui tout à fait,96,195,0.492307692308
12,de 26 791 à 71 826 euros,Non pas du tout,170,12378,0.0137340442721
13,de 26 791 à 71 826 euros,Non pas vraiment,726,12378,0.0586524478914
14,de 26 791 à 71 826 euros,Oui plutôt,5081,12378,0.410486346744
15,de 26 791 à 71 826 euros,Oui tout à fait,6401,12378,0.517127161092
16,de 71 826 à 152 108 euros,Non pas du tout,37,1413,0.0261854210899
17,de 71 826 à 152 108 euros,Non pas vraiment,127,1413,0.0898796886058
18,de 71 826 à 152 108 euros,Oui plutôt,636,1413,0.450106157113
19,de 71 826 à 152 108 euros,Oui tout à fait,613,1413,0.433828733192
20,de 9 700 à 26 791 euros,Non pas du tout,164,14759,0.0111118639474
21,de 9 700 à 26 791 euros,Non pas vraiment,766,14759,0.0519005352666
22,de 9 700 à 26 791 euros,Oui plutôt,5354,14759,0.362761704723
23,de 9 700 à 26 791 euros,Oui tout à fait,8475,14759,0.574225896063
