,taille_commune,answer,count,total,value
0,20 000 à 100 000 habitants,La défense des droits humains,99,8337,0.011874775099
1,20 000 à 100 000 habitants,La justice sociale,117,8337,0.0140338251169
2,20 000 à 100 000 habitants,La liberté de la presse et d’expression,200,8337,0.0239894446444
3,20 000 à 100 000 habitants,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",580,8337,0.0695693894686
4,20 000 à 100 000 habitants,La politique étrangère,396,8337,0.0474991003958
5,20 000 à 100 000 habitants,La protection de l'environnement,98,8337,0.0117548278757
6,20 000 à 100 000 habitants,La religion,1737,8337,0.208348326736
7,20 000 à 100 000 habitants,La santé,24,8337,0.00287873335732
8,20 000 à 100 000 habitants,"La sécurité, le terrorisme",1255,8337,0.150533765143
9,20 000 à 100 000 habitants,La transparence en politique,372,8337,0.0446203670385
10,20 000 à 100 000 habitants,Le handicap,40,8337,0.00479788892887
11,20 000 à 100 000 habitants,Le logement,54,8337,0.00647715005398
12,20 000 à 100 000 habitants,Le vivre ensemble,265,8337,0.0317860141538
13,20 000 à 100 000 habitants,Les droits des animaux,396,8337,0.0474991003958
14,20 000 à 100 000 habitants,Les droits des femmes,83,8337,0.00995561952741
15,20 000 à 100 000 habitants,Les droits des personnes LGBT,419,8337,0.0502578865299
16,20 000 à 100 000 habitants,L’accueil des migrants,1418,8337,0.170085162528
17,20 000 à 100 000 habitants,L’emploi,157,8337,0.0188317140458
18,20 000 à 100 000 habitants,L’économie,563,8337,0.0675302866739
19,20 000 à 100 000 habitants,L’éducation,64,8337,0.00767662228619
20,2000 à 20 000 habitants,La défense des droits humains,184,14496,0.0126931567329
21,2000 à 20 000 habitants,La justice sociale,186,14496,0.0128311258278
22,2000 à 20 000 habitants,La liberté de la presse et d’expression,332,14496,0.0229028697572
23,2000 à 20 000 habitants,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",1035,14496,0.0713990066225
24,2000 à 20 000 habitants,La politique étrangère,789,14496,0.054428807947
25,2000 à 20 000 habitants,La protection de l'environnement,172,14496,0.0118653421634
26,2000 à 20 000 habitants,La religion,2883,14496,0.198882450331
27,2000 à 20 000 habitants,La santé,51,14496,0.00351821192053
28,2000 à 20 000 habitants,"La sécurité, le terrorisme",1922,14496,0.132588300221
29,2000 à 20 000 habitants,La transparence en politique,713,14496,0.04918598234
30,2000 à 20 000 habitants,Le handicap,78,14496,0.00538079470199
31,2000 à 20 000 habitants,Le logement,94,14496,0.00648454746137
32,2000 à 20 000 habitants,Le vivre ensemble,402,14496,0.0277317880795
33,2000 à 20 000 habitants,Les droits des animaux,679,14496,0.0468405077263
34,2000 à 20 000 habitants,Les droits des femmes,110,14496,0.00758830022075
35,2000 à 20 000 habitants,Les droits des personnes LGBT,660,14496,0.0455298013245
36,2000 à 20 000 habitants,L’accueil des migrants,2796,14496,0.192880794702
37,2000 à 20 000 habitants,L’emploi,247,14496,0.017039183223
38,2000 à 20 000 habitants,L’économie,1038,14496,0.0716059602649
39,2000 à 20 000 habitants,L’éducation,125,14496,0.00862306843267
40,Je préfère ne pas répondre,La défense des droits humains,28,1989,0.0140774258421
41,Je préfère ne pas répondre,La justice sociale,28,1989,0.0140774258421
42,Je préfère ne pas répondre,La liberté de la presse et d’expression,74,1989,0.0372046254399
43,Je préfère ne pas répondre,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",128,1989,0.0643539467069
44,Je préfère ne pas répondre,La politique étrangère,129,1989,0.0648567119155
45,Je préfère ne pas répondre,La protection de l'environnement,18,1989,0.00904977375566
46,Je préfère ne pas répondre,La religion,367,1989,0.184514831574
47,Je préfère ne pas répondre,La santé,8,1989,0.00402212166918
48,Je préfère ne pas répondre,"La sécurité, le terrorisme",274,1989,0.137757667169
49,Je préfère ne pas répondre,La transparence en politique,90,1989,0.0452488687783
50,Je préfère ne pas répondre,Le handicap,14,1989,0.00703871292107
51,Je préfère ne pas répondre,Le logement,14,1989,0.00703871292107
52,Je préfère ne pas répondre,Le vivre ensemble,64,1989,0.0321769733534
53,Je préfère ne pas répondre,Les droits des animaux,80,1989,0.0402212166918
54,Je préfère ne pas répondre,Les droits des femmes,29,1989,0.0145801910508
55,Je préfère ne pas répondre,Les droits des personnes LGBT,73,1989,0.0367018602313
56,Je préfère ne pas répondre,L’accueil des migrants,348,1989,0.174962292609
57,Je préfère ne pas répondre,L’emploi,48,1989,0.0241327300151
58,Je préfère ne pas répondre,L’économie,151,1989,0.0759175465058
59,Je préfère ne pas répondre,L’éducation,24,1989,0.0120663650075
60,Moins de 2000 habitants,La défense des droits humains,134,9396,0.0142613878246
61,Moins de 2000 habitants,La justice sociale,120,9396,0.0127713920817
62,Moins de 2000 habitants,La liberté de la presse et d’expression,201,9396,0.0213920817369
63,Moins de 2000 habitants,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",690,9396,0.07343550447
64,Moins de 2000 habitants,La politique étrangère,531,9396,0.0565134099617
65,Moins de 2000 habitants,La protection de l'environnement,117,9396,0.0124521072797
66,Moins de 2000 habitants,La religion,1779,9396,0.189335887612
67,Moins de 2000 habitants,La santé,31,9396,0.00329927628778
68,Moins de 2000 habitants,"La sécurité, le terrorisme",1338,9396,0.142401021711
69,Moins de 2000 habitants,La transparence en politique,439,9396,0.0467220093657
70,Moins de 2000 habitants,Le handicap,55,9396,0.00585355470413
71,Moins de 2000 habitants,Le logement,49,9396,0.00521498510004
72,Moins de 2000 habitants,Le vivre ensemble,262,9396,0.0278842060451
73,Moins de 2000 habitants,Les droits des animaux,448,9396,0.0476798637718
74,Moins de 2000 habitants,Les droits des femmes,66,9396,0.00702426564496
75,Moins de 2000 habitants,Les droits des personnes LGBT,415,9396,0.0441677309493
76,Moins de 2000 habitants,L’accueil des migrants,1741,9396,0.185291613453
77,Moins de 2000 habitants,L’emploi,163,9396,0.0173478075777
78,Moins de 2000 habitants,L’économie,718,9396,0.0764154959557
79,Moins de 2000 habitants,L’éducation,99,9396,0.0105363984674
80,Plus de 100 000 habitants,La défense des droits humains,76,8741,0.00869465736186
81,Plus de 100 000 habitants,La justice sociale,81,8741,0.00926667429356
82,Plus de 100 000 habitants,La liberté de la presse et d’expression,183,8741,0.0209358197003
83,Plus de 100 000 habitants,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",489,8741,0.0559432559204
84,Plus de 100 000 habitants,La politique étrangère,372,8741,0.0425580597186
85,Plus de 100 000 habitants,La protection de l'environnement,92,8741,0.0105251115433
86,Plus de 100 000 habitants,La religion,1961,8741,0.224345040613
87,Plus de 100 000 habitants,La santé,30,8741,0.00343210159021
88,Plus de 100 000 habitants,"La sécurité, le terrorisme",1775,8741,0.203066010754
89,Plus de 100 000 habitants,La transparence en politique,402,8741,0.0459901613088
90,Plus de 100 000 habitants,Le handicap,36,8741,0.00411852190825
91,Plus de 100 000 habitants,Le logement,49,8741,0.00560576593067
92,Plus de 100 000 habitants,Le vivre ensemble,223,8741,0.0255119551539
93,Plus de 100 000 habitants,Les droits des animaux,415,8741,0.0474774053312
94,Plus de 100 000 habitants,Les droits des femmes,75,8741,0.00858025397552
95,Plus de 100 000 habitants,Les droits des personnes LGBT,451,8741,0.0515959272394
96,Plus de 100 000 habitants,L’accueil des migrants,1168,8741,0.133623155245
97,Plus de 100 000 habitants,L’emploi,160,8741,0.0183045418144
98,Plus de 100 000 habitants,L’économie,649,8741,0.0742477977348
99,Plus de 100 000 habitants,L’éducation,54,8741,0.00617778286237
