,revenu,answer,count,total,value
0,Je préfère ne pas répondre,Non pas complètement,4120,8940,0.460850111857
1,Je préfère ne pas répondre,Non pas du tout,3733,8940,0.417561521253
2,Je préfère ne pas répondre,Oui complètement,157,8940,0.0175615212528
3,Je préfère ne pas répondre,Oui plutôt,930,8940,0.104026845638
4,Jusqu'à 9 700 euros,Non pas complètement,2266,5274,0.429654910884
5,Jusqu'à 9 700 euros,Non pas du tout,2453,5274,0.465111869549
6,Jusqu'à 9 700 euros,Oui complètement,79,5274,0.0149791429655
7,Jusqu'à 9 700 euros,Oui plutôt,476,5274,0.0902540766022
8,au-delà de 152 108 euros,Non pas complètement,79,195,0.405128205128
9,au-delà de 152 108 euros,Non pas du tout,91,195,0.466666666667
10,au-delà de 152 108 euros,Oui complètement,2,195,0.0102564102564
11,au-delà de 152 108 euros,Oui plutôt,23,195,0.117948717949
12,de 26 791 à 71 826 euros,Non pas complètement,5913,12378,0.477702375182
13,de 26 791 à 71 826 euros,Non pas du tout,5336,12378,0.431087413152
14,de 26 791 à 71 826 euros,Oui complètement,104,12378,0.00840200355469
15,de 26 791 à 71 826 euros,Oui plutôt,1025,12378,0.0828082081112
16,de 71 826 à 152 108 euros,Non pas complètement,718,1413,0.50813871196
17,de 71 826 à 152 108 euros,Non pas du tout,510,1413,0.36093418259
18,de 71 826 à 152 108 euros,Oui complètement,9,1413,0.00636942675159
19,de 71 826 à 152 108 euros,Oui plutôt,176,1413,0.124557678698
20,de 9 700 à 26 791 euros,Non pas complètement,6315,14759,0.427874517244
21,de 9 700 à 26 791 euros,Non pas du tout,7168,14759,0.485669760824
22,de 9 700 à 26 791 euros,Oui complètement,159,14759,0.0107730876076
23,de 9 700 à 26 791 euros,Oui plutôt,1117,14759,0.0756826343248
