,taille_commune,answer,count,total,value
0,20 000 à 100 000 habitants,La défense des droits humains,708,8337,0.084922634041
1,20 000 à 100 000 habitants,La justice sociale,1178,8337,0.141297828955
2,20 000 à 100 000 habitants,La liberté de la presse et d’expression,59,8337,0.00707688617009
3,20 000 à 100 000 habitants,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",196,8337,0.0235096557515
4,20 000 à 100 000 habitants,La politique étrangère,115,8337,0.0137939306705
5,20 000 à 100 000 habitants,La protection de l'environnement,888,8337,0.106513134221
6,20 000 à 100 000 habitants,La religion,33,8337,0.00395825836632
7,20 000 à 100 000 habitants,La santé,89,8337,0.0106753028667
8,20 000 à 100 000 habitants,"La sécurité, le terrorisme",447,8337,0.0536164087801
9,20 000 à 100 000 habitants,La transparence en politique,562,8337,0.0674103394506
10,20 000 à 100 000 habitants,Le handicap,41,8337,0.00491783615209
11,20 000 à 100 000 habitants,Le logement,44,8337,0.00527767782176
12,20 000 à 100 000 habitants,Le vivre ensemble,505,8337,0.060573347727
13,20 000 à 100 000 habitants,Les droits des animaux,288,8337,0.0345448002879
14,20 000 à 100 000 habitants,Les droits des femmes,110,8337,0.0131941945544
15,20 000 à 100 000 habitants,Les droits des personnes LGBT,52,8337,0.00623725560753
16,20 000 à 100 000 habitants,L’accueil des migrants,187,8337,0.0224301307425
17,20 000 à 100 000 habitants,L’emploi,1065,8337,0.127743792731
18,20 000 à 100 000 habitants,L’économie,1032,8337,0.123785534365
19,20 000 à 100 000 habitants,L’éducation,738,8337,0.0885210507377
20,2000 à 20 000 habitants,La défense des droits humains,1258,14496,0.0867825607064
21,2000 à 20 000 habitants,La justice sociale,2166,14496,0.149420529801
22,2000 à 20 000 habitants,La liberté de la presse et d’expression,84,14496,0.00579470198675
23,2000 à 20 000 habitants,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",299,14496,0.0206263796909
24,2000 à 20 000 habitants,La politique étrangère,119,14496,0.0082091611479
25,2000 à 20 000 habitants,La protection de l'environnement,1479,14496,0.102028145695
26,2000 à 20 000 habitants,La religion,62,14496,0.0042770419426
27,2000 à 20 000 habitants,La santé,151,14496,0.0104166666667
28,2000 à 20 000 habitants,"La sécurité, le terrorisme",768,14496,0.0529801324503
29,2000 à 20 000 habitants,La transparence en politique,1043,14496,0.0719508830022
30,2000 à 20 000 habitants,Le handicap,93,14496,0.00641556291391
31,2000 à 20 000 habitants,Le logement,66,14496,0.00455298013245
32,2000 à 20 000 habitants,Le vivre ensemble,733,14496,0.0505656732892
33,2000 à 20 000 habitants,Les droits des animaux,509,14496,0.0351131346578
34,2000 à 20 000 habitants,Les droits des femmes,167,14496,0.011520419426
35,2000 à 20 000 habitants,Les droits des personnes LGBT,100,14496,0.00689845474614
