,tendance,answer,count,total,value
0,Autre tendance,La défense des droits humains,64,6503,0.00984161156389
1,Autre tendance,La justice sociale,96,6503,0.0147624173458
2,Autre tendance,La liberté de la presse et d’expression,73,6503,0.0112255881901
3,Autre tendance,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",636,6503,0.0978010149162
4,Autre tendance,La politique étrangère,504,6503,0.0775026910657
5,Autre tendance,La protection de l'environnement,58,6503,0.00891896047978
6,Autre tendance,La religion,955,6503,0.146855297555
7,Autre tendance,La santé,16,6503,0.00246040289097
8,Autre tendance,"La sécurité, le terrorisme",1172,6503,0.180224511764
9,Autre tendance,La transparence en politique,289,6503,0.0444410272182
10,Autre tendance,Le handicap,19,6503,0.00292172843303
11,Autre tendance,Le logement,38,6503,0.00584345686606
12,Autre tendance,Le vivre ensemble,268,6503,0.0412117484238
13,Autre tendance,Les droits des animaux,86,6503,0.013224665539
14,Autre tendance,Les droits des femmes,49,6503,0.00753498385361
15,Autre tendance,Les droits des personnes LGBT,188,6503,0.0289097339689
16,Autre tendance,L’accueil des migrants,964,6503,0.148239274181
17,Autre tendance,L’emploi,214,6503,0.0329078886668
18,Autre tendance,L’économie,761,6503,0.117022912502
19,Autre tendance,L’éducation,53,6503,0.00815008457635
20,Centre,La défense des droits humains,20,1886,0.0106044538706
21,Centre,La justice sociale,35,1886,0.0185577942736
22,Centre,La liberté de la presse et d’expression,30,1886,0.0159066808059
23,Centre,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",153,1886,0.0811240721103
24,Centre,La politique étrangère,141,1886,0.0747613997879
25,Centre,La protection de l'environnement,30,1886,0.0159066808059
26,Centre,La religion,301,1886,0.159597030753
27,Centre,La santé,6,1886,0.00318133616119
28,Centre,"La sécurité, le terrorisme",254,1886,0.134676564157
29,Centre,La transparence en politique,139,1886,0.0737009544008
30,Centre,Le handicap,9,1886,0.00477200424178
31,Centre,Le logement,16,1886,0.0084835630965
